# CutterNest Piezas v1
# Archivador de oficina con tres cajones grandes.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
glb-zocalo,Zocalo archivador,500,100,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-tapa,Tapa archivador,500,40,1,si,#C19A6B,30,"T,B,L,R",estructura
glb-trasera,Panel posterior archivador,500,1300,1,no,#F2F2F2,15,,estructura
m1-base,Base archivador,500,600,1,si,#C19A6B,30,"T,B,L,R",m1
m1-tapa,Tapa archivador,500,600,1,si,#C19A6B,30,"T,B,L,R",m1
m1-lateral-izq,Lateral izquierdo archivador,600,1300,1,no,#C19A6B,15,"T,B,L",m1
m1-lateral-der,Lateral derecho archivador,600,1300,1,no,#C19A6B,15,"T,B,R",m1
m1-fondo,Fondo archivador,500,1300,1,no,#F2F2F2,15,,m1
m11-frente,Frente cajon 1,420,280,1,si,#8B5A2B,15,"T,B,L,R",m11
m11-lateral-izq,Lateral cajon 1,250,570,1,no,#D9C2A3,15,"T,B,L",m11
m11-lateral-der,Lateral cajon 1,250,570,1,no,#D9C2A3,15,"T,B,R",m11
m11-fondo,Fondo cajon 1,380,570,1,no,#F2F2F2,15,,m11
m11-base,Base cajon 1,380,570,1,si,#D9C2A3,15,"T,B,L,R",m11
m11-tirador,Tirador cajon 1,2,20,1,no,#A0A0A0,5,,m11
m12-frente,Frente cajon 2,420,280,1,si,#8B5A2B,15,"T,B,L,R",m12
m12-lateral-izq,Lateral cajon 2,250,570,1,no,#D9C2A3,15,"T,B,L",m12
m12-lateral-der,Lateral cajon 2,250,570,1,no,#D9C2A3,15,"T,B,R",m12
m12-fondo,Fondo cajon 2,380,570,1,no,#F2F2F2,15,,m12
m12-base,Base cajon 2,380,570,1,si,#D9C2A3,15,"T,B,L,R",m12
m12-tirador,Tirador cajon 2,2,20,1,no,#A0A0A0,5,,m12
m13-frente,Frente cajon 3,420,280,1,si,#8B5A2B,15,"T,B,L,R",m13
m13-lateral-izq,Lateral cajon 3,250,570,1,no,#D9C2A3,15,"T,B,L",m13
m13-lateral-der,Lateral cajon 3,250,570,1,no,#D9C2A3,15,"T,B,R",m13
m13-fondo,Fondo cajon 3,380,570,1,no,#F2F2F2,15,,m13
m13-base,Base cajon 3,380,570,1,si,#D9C2A3,15,"T,B,L,R",m13
m13-tirador,Tirador cajon 3,2,20,1,no,#A0A0A0,5,,m13
