# CutterNest Piezas v1
# Botellero de cocina con entrepaños para botellas.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
glb-zocalo,Zocalo botellero,1000,100,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-zocalo-lateral-izq,Lateral zocalo izquierdo botellero,400,100,1,no,#C19A6B,15,"T,B,L",estructura
glb-zocalo-lateral-der,Lateral zocalo derecho botellero,400,100,1,no,#C19A6B,15,"T,B,R",estructura
glb-tapa,Tapa botellero,1000,40,1,si,#C19A6B,30,"T,B,L,R",estructura
glb-trasera,Panel posterior botellero,1000,1100,1,no,#F2F2F2,15,,estructura
m1-base,Base botellero,970,370,1,si,#C19A6B,15,"T,B,L,R",m1
m1-tapa,Tapa botellero,1000,400,1,si,#C19A6B,30,"T,B,L,R",m1
m1-lateral-izq,Lateral izquierdo botellero,400,1100,1,no,#C19A6B,15,"T,B,L",m1
m1-lateral-der,Lateral derecho botellero,400,1100,1,no,#C19A6B,15,"T,B,R",m1
m1-fondo,Fondo botellero,970,1070,1,no,#F2F2F2,15,,m1
m1-entrepaño-1,Entrepaño botellero 1,940,250,1,si,#D9C2A3,18,"T,B,L,R",m1
m1-entrepaño-2,Entrepaño botellero 2,940,250,1,si,#D9C2A3,18,"T,B,L,R",m1
m1-entrepaño-3,Entrepaño botellero 3,940,250,1,si,#D9C2A3,18,"T,B,L,R",m1
m1-entrepaño-4,Entrepaño botellero 4,940,250,1,si,#D9C2A3,18,"T,B,L,R",m1
