# CutterNest Piezas v1
# Ejemplo de buro flotante
# Buro colgado 600×420×350 fijado a pared con escuadras (herraje, no pieza): tablero superior, 2 laterales, fondo y travesano inferior (rol brace), sin base inferior. 2 cajones en fila (2 columnas) de 6 piezas con cajon(). Herrajes: escuadras de pared, 2 pares de correderas telescopicas 300 mm y 2 tiradores.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
m1-tablero,Tablero buro flotante,600,350,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,350,420,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,350,420,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo buro flotante,600,420,1,no,#F2F2F2,15,"",1
m1-travesano-inferior,Travesano inferior buro flotante,570,80,1,si,#C19A6B,15,"T,B,L,R",1
m11-cajon-frente,Frente cajon izquierdo M1,282,317,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon izquierdo M1,295,287,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon izquierdo M1,295,287,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon izquierdo M1,229,272,1,no,#F2F2F2,15,,11
m11-cajon-cara,Cara cajon izquierdo M1,229,287,1,no,#D9C2A3,15,"T,B,L,R",11
m11-cajon-base,Base cajon izquierdo M1,229,295,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon izquierdo M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon derecho M1,282,317,1,si,#8B5A2B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon derecho M1,295,287,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon derecho M1,295,287,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon derecho M1,229,272,1,no,#F2F2F2,15,,12
m12-cajon-cara,Cara cajon derecho M1,229,287,1,no,#D9C2A3,15,"T,B,L,R",12
m12-cajon-base,Base cajon derecho M1,229,295,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon derecho M1,2,20,1,no,#A0A0A0,5,,12
