# CutterNest Piezas v1
# Ejemplo de cajonera con frentes mixtos
# Chifonier organizador 600×1300×450 de melamina 15 mm con 6 cajones de 6 piezas en alturas ergonomicas por tipo de prenda: frente delgado 130 (accesorios y ropa interior), frentes estandar 200 (camisetas, camisas, pantalones) y frente profundo 280 (sueteres y sabanas). La caja de cada cajon queda 30 mm mas baja que el frente (evita choque con el armazon al abrir/cerrar) y la holgura de rieles telescopicos es de 12.7 mm por lado. Herrajes: 6 pares de correderas telescopicas 450 mm y 6 tiradores.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
m1-base,Base modulo M1,600,450,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,600,450,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,450,1300,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,450,1300,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,570,1270,1,no,#F2F2F2,15,"",1
m11-cajon-frente,Frente cajon accesorios M1,568,127,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon accesorios M1,395,97,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon accesorios M1,395,97,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon accesorios M1,515,82,1,no,#F2F2F2,15,,11
m11-cajon-cara,Cara cajon accesorios M1,515,97,1,no,#D9C2A3,15,"T,B,L,R",11
m11-cajon-base,Base cajon accesorios M1,515,395,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon accesorios M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon camisetas M1,568,197,1,si,#8B5A2B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon camisetas M1,395,167,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon camisetas M1,395,167,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon camisetas M1,515,152,1,no,#F2F2F2,15,,12
m12-cajon-cara,Cara cajon camisetas M1,515,167,1,no,#D9C2A3,15,"T,B,L,R",12
m12-cajon-base,Base cajon camisetas M1,515,395,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon camisetas M1,2,20,1,no,#A0A0A0,5,,12
m13-cajon-frente,Frente cajon camisas M1,568,197,1,si,#8B5A2B,15,"T,B,L,R",13
m13-cajon-lateral-izq,Lateral cajon camisas M1,395,167,1,no,#D9C2A3,15,"T,B,L",13
m13-cajon-lateral-der,Lateral cajon camisas M1,395,167,1,no,#D9C2A3,15,"T,B,R",13
m13-cajon-fondo,Fondo cajon camisas M1,515,152,1,no,#F2F2F2,15,,13
m13-cajon-cara,Cara cajon camisas M1,515,167,1,no,#D9C2A3,15,"T,B,L,R",13
m13-cajon-base,Base cajon camisas M1,515,395,1,si,#D9C2A3,15,"T,B,L,R",13
m13-cajon-tirador,Tirador cajon camisas M1,2,20,1,no,#A0A0A0,5,,13
m14-cajon-frente,Frente cajon pantalones M1,568,197,1,si,#8B5A2B,15,"T,B,L,R",14
m14-cajon-lateral-izq,Lateral cajon pantalones M1,395,167,1,no,#D9C2A3,15,"T,B,L",14
m14-cajon-lateral-der,Lateral cajon pantalones M1,395,167,1,no,#D9C2A3,15,"T,B,R",14
m14-cajon-fondo,Fondo cajon pantalones M1,515,152,1,no,#F2F2F2,15,,14
m14-cajon-cara,Cara cajon pantalones M1,515,167,1,no,#D9C2A3,15,"T,B,L,R",14
m14-cajon-base,Base cajon pantalones M1,515,395,1,si,#D9C2A3,15,"T,B,L,R",14
m14-cajon-tirador,Tirador cajon pantalones M1,2,20,1,no,#A0A0A0,5,,14
m15-cajon-frente,Frente cajon ropa interior M1,568,127,1,si,#8B5A2B,15,"T,B,L,R",15
m15-cajon-lateral-izq,Lateral cajon ropa interior M1,395,97,1,no,#D9C2A3,15,"T,B,L",15
m15-cajon-lateral-der,Lateral cajon ropa interior M1,395,97,1,no,#D9C2A3,15,"T,B,R",15
m15-cajon-fondo,Fondo cajon ropa interior M1,515,82,1,no,#F2F2F2,15,,15
m15-cajon-cara,Cara cajon ropa interior M1,515,97,1,no,#D9C2A3,15,"T,B,L,R",15
m15-cajon-base,Base cajon ropa interior M1,515,395,1,si,#D9C2A3,15,"T,B,L,R",15
m15-cajon-tirador,Tirador cajon ropa interior M1,2,20,1,no,#A0A0A0,5,,15
m16-cajon-frente,Frente cajon sueteres M1,568,277,1,si,#8B5A2B,15,"T,B,L,R",16
m16-cajon-lateral-izq,Lateral cajon sueteres M1,395,247,1,no,#D9C2A3,15,"T,B,L",16
m16-cajon-lateral-der,Lateral cajon sueteres M1,395,247,1,no,#D9C2A3,15,"T,B,R",16
m16-cajon-fondo,Fondo cajon sueteres M1,515,232,1,no,#F2F2F2,15,,16
m16-cajon-cara,Cara cajon sueteres M1,515,247,1,no,#D9C2A3,15,"T,B,L,R",16
m16-cajon-base,Base cajon sueteres M1,515,395,1,si,#D9C2A3,15,"T,B,L,R",16
m16-cajon-tirador,Tirador cajon sueteres M1,2,20,1,no,#A0A0A0,5,,16
