# CutterNest Piezas v1
# Ejemplo: cuatro módulos con cajones verticales y repisas superior/inferior.
# - Módulo 1: dos cajones apilados (submódulos 11 y 12), repisa superior e inferior.
# - Módulo 2: dos cajones apilados (submódulos 21 y 22), repisa superior e inferior.
# - Módulo 3: 3 repisas inferiores + 1 repisa superior.
# - Módulo 4: 3 repisas inferiores + 1 repisa superior.
# Las dimensiones base/tapa difieren ligeramente para evitar agrupación automática.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo

# --- Modulo 1: cajonera doble con repisas superior e inferior ---
m1-base,Base modulo M1,450,520,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,450,550,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,2300,550,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,2300,550,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,450,2300,1,no,#F2F2F2,15,,1
m1-repisa-superior,Repisa Superior M1,390,380,1,si,#D9C2A3,15,"T,B,L,R",1
m1-repisa-inferior,Repisa Inferior M1,390,380,1,si,#D9C2A3,15,"T,B,L,R",1

# --- Submodulo 11: cajon superior del modulo 1 ---
m11-cajon-frente,Frente cajon superior M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon superior M1,180,450,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon superior M1,180,450,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon superior M1,360,450,1,no,#F2F2F2,15,,11
m11-cajon-base,Base cajon superior M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon superior M1,2,20,1,no,#A0A0A0,5,,11

# --- Submodulo 12: cajon inferior del modulo 1 ---
m12-cajon-frente,Frente cajon inferior M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon inferior M1,180,450,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon inferior M1,180,450,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon inferior M1,360,450,1,no,#F2F2F2,15,,12
m12-cajon-base,Base cajon inferior M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon inferior M1,2,20,1,no,#A0A0A0,5,,12

# --- Modulo 2: cajonera doble con repisas superior e inferior ---
m2-base,Base modulo M2,460,520,1,si,#8B5A2B,15,"T,B,L,R",2
m2-tapa,Tapa modulo M2,460,550,1,si,#8B5A2B,15,"T,B,L,R",2
m2-lateral-izq,Lateral izquierdo M2,2300,560,1,no,#8B5A2B,15,"T,B,L",2
m2-lateral-der,Lateral derecho M2,2300,560,1,no,#8B5A2B,15,"T,B,R",2
m2-fondo,Fondo modulo M2,460,2300,1,no,#F2F2F2,15,,2
m2-repisa-superior,Repisa Superior M2,400,380,1,si,#D9C2A3,15,"T,B,L,R",2
m2-repisa-inferior,Repisa Inferior M2,400,380,1,si,#D9C2A3,15,"T,B,L,R",2

# --- Submodulo 21: cajon superior del modulo 2 ---
m21-cajon-frente,Frente cajon superior M2,410,180,1,si,#C19A6B,15,"T,B,L,R",21
m21-cajon-lateral-izq,Lateral cajon superior M2,180,450,1,no,#D9C2A3,15,"T,B,L",21
m21-cajon-lateral-der,Lateral cajon superior M2,180,450,1,no,#D9C2A3,15,"T,B,R",21
m21-cajon-fondo,Fondo cajon superior M2,370,450,1,no,#F2F2F2,15,,21
m21-cajon-base,Base cajon superior M2,370,450,1,si,#D9C2A3,15,"T,B,L,R",21
m21-cajon-tirador,Tirador cajon superior M2,2,20,1,no,#A0A0A0,5,,21

# --- Submodulo 22: cajon inferior del modulo 2 ---
m22-cajon-frente,Frente cajon inferior M2,410,180,1,si,#C19A6B,15,"T,B,L,R",22
m22-cajon-lateral-izq,Lateral cajon inferior M2,180,450,1,no,#D9C2A3,15,"T,B,L",22
m22-cajon-lateral-der,Lateral cajon inferior M2,180,450,1,no,#D9C2A3,15,"T,B,R",22
m22-cajon-fondo,Fondo cajon inferior M2,370,450,1,no,#F2F2F2,15,,22
m22-cajon-base,Base cajon inferior M2,370,450,1,si,#D9C2A3,15,"T,B,L,R",22
m22-cajon-tirador,Tirador cajon inferior M2,2,20,1,no,#A0A0A0,5,,22

# --- Modulo 3: 3 repisas inferiores + 1 repisa superior ---
m3-base,Base modulo M3,500,520,1,si,#C19A6B,15,"T,B,L,R",3
m3-tapa,Tapa modulo M3,500,550,1,si,#C19A6B,15,"T,B,L,R",3
m3-lateral-izq,Lateral izquierdo M3,2300,550,1,no,#C19A6B,15,"T,B,L",3
m3-lateral-der,Lateral derecho M3,2300,550,1,no,#C19A6B,15,"T,B,R",3
m3-fondo,Fondo modulo M3,500,2300,1,no,#F2F2F2,15,,3
m3-repisa-superior,Repisa Superior M3,440,380,1,si,#D9C2A3,15,"T,B,L,R",3
m3-repisa-inferior,Repisa Inferior M3,440,380,3,si,#D9C2A3,15,"T,B,L,R",3

# --- Modulo 4: 3 repisas inferiores + 1 repisa superior ---
m4-base,Base modulo M4,510,520,1,si,#8B5A2B,15,"T,B,L,R",4
m4-tapa,Tapa modulo M4,510,550,1,si,#8B5A2B,15,"T,B,L,R",4
m4-lateral-izq,Lateral izquierdo M4,2300,560,1,no,#8B5A2B,15,"T,B,L",4
m4-lateral-der,Lateral derecho M4,2300,560,1,no,#8B5A2B,15,"T,B,R",4
m4-fondo,Fondo modulo M4,510,2300,1,no,#F2F2F2,15,,4
m4-repisa-superior,Repisa Superior M4,450,380,1,si,#D9C2A3,15,"T,B,L,R",4
m4-repisa-inferior,Repisa Inferior M4,450,380,3,si,#D9C2A3,15,"T,B,L,R",4
