# CutterNest Piezas v1
# Ejemplo de closet abierto modular
# Closet abierto modular 3400×2400×600 sin puertas, melamina 15 mm, 100% modular (4 modulos de 850): zocalo-cajon corrido 150 + tapa corrida y 4 modulos con base propia. Alturas ergonomicas: barras dobles a 2100/1000 mm (colgado corto por nivel) y barra camisera a 1800 mm (colgado largo). M1 doble colgado (2 barras cromadas + repisa superior), M2 cajonera con frentes mixtos (delgado 130 accesorios, 4 estandar 200, profundo 280 sueteres; caja 30 mm mas baja que el frente y holgura de rieles 12.7 mm/lado), M3 zapatera por tipo de calzado (bandejas extraibles frente 180 planos, 200 tenis y 220 tacones/botines, vano abierto 450 para botas altas) y M4 colgador camisero (barra a 1800 + 3 repisas). Todas las repisas de 820 mm de luz llevan refuerzo interior de 100 mm (melamina 15 mm). Herrajes: barras cromadas Ø25 y correderas telescopicas.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global: zocalo-cajon corrido (sin base global) ---
glb-zocalo,Zocalo corrido closet abierto modular,3400,150,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-zocalo-lateral-izq,Lateral zocalo izquierdo closet abierto modular,600,150,1,no,#C19A6B,15,"T,B,L",estructura
glb-zocalo-lateral-der,Lateral zocalo derecho closet abierto modular,600,150,1,no,#C19A6B,15,"T,B,R",estructura
glb-tapa,Tapa corrida closet abierto modular,3400,600,1,si,#D9C2A3,15,"T,B,L,R",estructura
# --- Modulo 1: doble colgado (2 barras a dos alturas + repisa superior) ---
m1-base,Base modulo M1,820,570,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,850,600,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,600,2400,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,600,2400,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,820,2370,1,no,#F2F2F2,15,"",1
m1-repisa-superior,Repisa superior M1,820,400,1,si,#D9C2A3,15,"T,B,L,R",1
m1-refuerzo-repisa,Refuerzo repisa superior M1,820,100,1,si,#C19A6B,15,"T,B,L,R",1
m1-barra-alta,Barra colgadora alta M1,820,25,1,si,#A0A0A0,25,"",1
m1-barra-baja,Barra colgadora baja M1,820,25,1,si,#A0A0A0,25,"",1
# --- Modulo 2: cajonera con frentes mixtos por tipo de prenda ---
# Alturas ergonomicas de frente: delgado 130 (accesorios/ropa interior),
# estandar 200 (camisetas, camisas, pantalones), profundo 280 (sueteres,
# sabanas). La caja de cada cajon queda 30 mm mas baja que el frente
# (evita choque con el armazon) y usa holgura de rieles de 12.7 mm/lado.
m2-base,Base modulo M2,820,570,1,si,#8B5A2B,15,"T,B,L,R",2
m2-tapa,Tapa modulo M2,850,600,1,si,#8B5A2B,15,"T,B,L,R",2
m2-lateral-izq,Lateral izquierdo M2,600,2400,1,no,#8B5A2B,15,"T,B,L",2
m2-lateral-der,Lateral derecho M2,600,2400,1,no,#8B5A2B,15,"T,B,R",2
m2-fondo,Fondo modulo M2,820,2370,1,no,#F2F2F2,15,"",2
m2-repisa-superior,Repisa superior M2,820,400,1,si,#D9C2A3,15,"T,B,L,R",2
m2-refuerzo-repisa,Refuerzo repisa superior M2,820,100,1,si,#8B5A2B,15,"T,B,L,R",2
m21-cajon-frente,Frente cajon accesorios M2,818,127,1,si,#C19A6B,15,"T,B,L,R",21
m21-cajon-lateral-izq,Lateral cajon accesorios M2,545,97,1,no,#D9C2A3,15,"T,B,L",21
m21-cajon-lateral-der,Lateral cajon accesorios M2,545,97,1,no,#D9C2A3,15,"T,B,R",21
m21-cajon-fondo,Fondo cajon accesorios M2,765,82,1,no,#F2F2F2,15,,21
m21-cajon-cara,Cara cajon accesorios M2,765,97,1,no,#D9C2A3,15,"T,B,L,R",21
m21-cajon-base,Base cajon accesorios M2,765,545,1,si,#D9C2A3,15,"T,B,L,R",21
m21-cajon-tirador,Tirador cajon accesorios M2,2,20,1,no,#A0A0A0,5,,21
m22-cajon-frente,Frente cajon camisetas M2,818,197,1,si,#C19A6B,15,"T,B,L,R",22
m22-cajon-lateral-izq,Lateral cajon camisetas M2,545,167,1,no,#D9C2A3,15,"T,B,L",22
m22-cajon-lateral-der,Lateral cajon camisetas M2,545,167,1,no,#D9C2A3,15,"T,B,R",22
m22-cajon-fondo,Fondo cajon camisetas M2,765,152,1,no,#F2F2F2,15,,22
m22-cajon-cara,Cara cajon camisetas M2,765,167,1,no,#D9C2A3,15,"T,B,L,R",22
m22-cajon-base,Base cajon camisetas M2,765,545,1,si,#D9C2A3,15,"T,B,L,R",22
m22-cajon-tirador,Tirador cajon camisetas M2,2,20,1,no,#A0A0A0,5,,22
m23-cajon-frente,Frente cajon camisas M2,818,197,1,si,#C19A6B,15,"T,B,L,R",23
m23-cajon-lateral-izq,Lateral cajon camisas M2,545,167,1,no,#D9C2A3,15,"T,B,L",23
m23-cajon-lateral-der,Lateral cajon camisas M2,545,167,1,no,#D9C2A3,15,"T,B,R",23
m23-cajon-fondo,Fondo cajon camisas M2,765,152,1,no,#F2F2F2,15,,23
m23-cajon-cara,Cara cajon camisas M2,765,167,1,no,#D9C2A3,15,"T,B,L,R",23
m23-cajon-base,Base cajon camisas M2,765,545,1,si,#D9C2A3,15,"T,B,L,R",23
m23-cajon-tirador,Tirador cajon camisas M2,2,20,1,no,#A0A0A0,5,,23
m24-cajon-frente,Frente cajon pantalones M2,818,197,1,si,#C19A6B,15,"T,B,L,R",24
m24-cajon-lateral-izq,Lateral cajon pantalones M2,545,167,1,no,#D9C2A3,15,"T,B,L",24
m24-cajon-lateral-der,Lateral cajon pantalones M2,545,167,1,no,#D9C2A3,15,"T,B,R",24
