# CutterNest Piezas v1
# Ejemplo de closet con zocalo-cajon
# Zocalo completo full-width 1800×150 (frente + laterales, sin base global) + 2 modulos doble puerta 900×2100×550 con su propia base interna apoyada sobre el zocalo, riel colgador, repisa inferior y tapa corrida.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global: zocalo-cajon (sin base global) ---
glb-zocalo,Zocalo corrido closet,1800,150,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-zocalo-lateral-izq,Lateral zocalo izquierdo closet,550,150,1,no,#C19A6B,15,"T,B,L",estructura
glb-zocalo-lateral-der,Lateral zocalo derecho closet,550,150,1,no,#C19A6B,15,"T,B,R",estructura
glb-tapa,Tapa corrida closet,1800,550,1,si,#D9C2A3,18,"T,B,L,R",estructura
glb-trasera,Panel posterior closet,1800,2100,1,no,#F2F2F2,15,"",estructura
# --- Modulo 1: cuerpo izquierdo doble puerta ---
m1-base,Base modulo M1,870,520,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,900,550,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,550,2100,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,550,2100,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,870,2070,1,no,#F2F2F2,15,"",1
m1-barra,Barra ropa M1,870,25,1,si,#A0A0A0,25,"",1
m1-repisa-inferior,Repisa inferior M1,570,520,1,si,#D9C2A3,15,"T,B,L,R",1
m1-puerta-izq,Puerta izquierda M1,433,1920,1,no,#FFFFFF,18,"T,B,L,R",1
m1-puerta-der,Puerta derecha M1,433,1920,1,no,#FFFFFF,18,"T,B,L,R",1
# --- Modulo 2: cuerpo derecho doble puerta ---
m2-base,Base modulo M2,870,520,1,si,#8B5A2B,15,"T,B,L,R",2
m2-tapa,Tapa modulo M2,900,550,1,si,#8B5A2B,15,"T,B,L,R",2
m2-lateral-izq,Lateral izquierdo M2,550,2100,1,no,#8B5A2B,15,"T,B,L",2
m2-lateral-der,Lateral derecho M2,550,2100,1,no,#8B5A2B,15,"T,B,R",2
m2-fondo,Fondo modulo M2,870,2070,1,no,#F2F2F2,15,"",2
m2-barra,Barra ropa M2,870,25,1,si,#A0A0A0,25,"",2
m2-repisa-inferior,Repisa inferior M2,570,520,1,si,#D9C2A3,15,"T,B,L,R",2
m2-puerta-izq,Puerta izquierda M2,433,1920,1,no,#FFFFFF,18,"T,B,L,R",2
m2-puerta-der,Puerta derecha M2,433,1920,1,no,#FFFFFF,18,"T,B,L,R",2
