# CutterNest Piezas v1
# Ejemplo de cocina modular
# Estructura global + 4 modulos: bajo mesada fregadero, cajonera triple, alacena y torre horno.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global ---
glb-zocalo,Zocalo corrido cocina,2440,100,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-tapa-trabajo,Tapa de trabajo corrida,2440,40,1,si,#D9C2A3,30,"T,B,L,R",estructura
glb-trasera,Panel posterior cocina,2440,600,1,no,#F2F2F2,15,"",estructura
glb-cantonera-izq,Cantonera izquierda,60,60,1,no,#9CA3AF,15,"T,B,L,R",estructura
glb-cantonera-der,Cantonera derecha,60,60,1,no,#9CA3AF,15,"T,B,L,R",estructura
# --- Modulo 1: bajo mesada fregadero con cajon ---
m1-base,Base modulo M1,600,560,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,600,560,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,560,700,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,560,700,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,600,700,1,no,#F2F2F2,15,"",1
m1-repisa-inferior,Repisa inferior M1,520,380,1,si,#D9C2A3,15,"T,B,L,R",1
m11-cajon-frente,Frente cajon inferior M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon inferior M1,180,450,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon inferior M1,180,450,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon inferior M1,360,450,1,no,#F2F2F2,15,,11
m11-cajon-base,Base cajon inferior M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon inferior M1,2,20,1,no,#A0A0A0,5,,11
# --- Modulo 2: cajonera triple ---
m2-base,Base modulo M2,600,560,1,si,#8B5A2B,15,"T,B,L,R",2
m2-tapa,Tapa modulo M2,600,560,1,si,#8B5A2B,15,"T,B,L,R",2
m2-lateral-izq,Lateral izquierdo M2,560,700,1,no,#8B5A2B,15,"T,B,L",2
m2-lateral-der,Lateral derecho M2,560,700,1,no,#8B5A2B,15,"T,B,R",2
m2-fondo,Fondo modulo M2,600,700,1,no,#F2F2F2,15,"",2
m21-cajon-frente,Frente cajon superior M2,400,180,1,si,#C19A6B,15,"T,B,L,R",21
m21-cajon-lateral-izq,Lateral cajon superior M2,180,450,1,no,#D9C2A3,15,"T,B,L",21
m21-cajon-lateral-der,Lateral cajon superior M2,180,450,1,no,#D9C2A3,15,"T,B,R",21
m21-cajon-fondo,Fondo cajon superior M2,360,450,1,no,#F2F2F2,15,,21
m21-cajon-base,Base cajon superior M2,360,450,1,si,#D9C2A3,15,"T,B,L,R",21
m21-cajon-tirador,Tirador cajon superior M2,2,20,1,no,#A0A0A0,5,,21
m22-cajon-frente,Frente cajon medio M2,400,180,1,si,#C19A6B,15,"T,B,L,R",22
m22-cajon-lateral-izq,Lateral cajon medio M2,180,450,1,no,#D9C2A3,15,"T,B,L",22
m22-cajon-lateral-der,Lateral cajon medio M2,180,450,1,no,#D9C2A3,15,"T,B,R",22
m22-cajon-fondo,Fondo cajon medio M2,360,450,1,no,#F2F2F2,15,,22
m22-cajon-base,Base cajon medio M2,360,450,1,si,#D9C2A3,15,"T,B,L,R",22
m22-cajon-tirador,Tirador cajon medio M2,2,20,1,no,#A0A0A0,5,,22
m23-cajon-frente,Frente cajon inferior M2,400,180,1,si,#C19A6B,15,"T,B,L,R",23
m23-cajon-lateral-izq,Lateral cajon inferior M2,180,450,1,no,#D9C2A3,15,"T,B,L",23
m23-cajon-lateral-der,Lateral cajon inferior M2,180,450,1,no,#D9C2A3,15,"T,B,R",23
m23-cajon-fondo,Fondo cajon inferior M2,360,450,1,no,#F2F2F2,15,,23
m23-cajon-base,Base cajon inferior M2,360,450,1,si,#D9C2A3,15,"T,B,L,R",23
m23-cajon-tirador,Tirador cajon inferior M2,2,20,1,no,#A0A0A0,5,,23
# --- Modulo 3: alacena con estantes y puerta ---
m3-base,Base modulo M3,600,320,1,si,#C19A6B,15,"T,B,L,R",3
m3-tapa,Tapa modulo M3,600,320,1,si,#C19A6B,15,"T,B,L,R",3
m3-lateral-izq,Lateral izquierdo M3,320,1200,1,no,#C19A6B,15,"T,B,L",3
m3-lateral-der,Lateral derecho M3,320,1200,1,no,#C19A6B,15,"T,B,R",3
m3-fondo,Fondo modulo M3,600,1200,1,no,#F2F2F2,15,"",3
m3-estante-1,Estante superior M3,540,280,1,si,#D9C2A3,15,"T,B,L,R",3
m3-estante-2,Estante medio M3,540,280,1,si,#D9C2A3,15,"T,B,L,R",3
m3-estante-3,Estante inferior M3,540,280,1,si,#D9C2A3,15,"T,B,L,R",3
m3-puerta,Puerta alacena M3,560,1160,1,no,#FFFFFF,18,"T,B,L,R",3
# --- Modulo 4: torre horno con cajon inferior ---
m4-base,Base modulo M4,600,560,1,si,#8B5A2B,15,"T,B,L,R",4
m4-tapa,Tapa modulo M4,600,560,1,si,#8B5A2B,15,"T,B,L,R",4
m4-lateral-izq,Lateral izquierdo M4,560,1200,1,no,#8B5A2B,15,"T,B,L",4
m4-lateral-der,Lateral derecho M4,560,1200,1,no,#8B5A2B,15,"T,B,R",4
m4-fondo,Fondo modulo M4,600,1200,1,no,#F2F2F2,15,"",4
m4-divisor,Divisor horno M4,560,550,1,no,#C19A6B,15,"T,B,L,R",4
m41-cajon-frente,Frente cajon inferior M4,400,180,1,si,#D9C2A3,15,"T,B,L,R",41
m41-cajon-lateral-izq,Lateral cajon inferior M4,180,450,1,no,#C19A6B,15,"T,B,L",41
m41-cajon-lateral-der,Lateral cajon inferior M4,180,450,1,no,#C19A6B,15,"T,B,R",41
m41-cajon-fondo,Fondo cajon inferior M4,360,450,1,no,#F2F2F2,15,,41
m41-cajon-base,Base cajon inferior M4,360,450,1,si,#C19A6B,15,"T,B,L,R",41
m41-cajon-tirador,Tirador cajon inferior M4,2,20,1,no,#A0A0A0,5,,41
