# CutterNest Piezas v1
# Ejemplo de comoda baja
# Comoda baja 1200×600×450 (base + tapa + 2 laterales + fondo + travesano trasero) sobre 4 patas niveladoras de panel 80×80 (rol leg). 3 cajones apilados de 6 piezas con cajon(). Herrajes: 3 pares de correderas telescopicas 450 mm, 3 tiradores y 4 patas niveladoras.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
m1-base,Base modulo M1,1200,450,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,1200,450,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,450,600,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,450,600,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,1170,570,1,no,#F2F2F2,15,"",1
m1-travesano-trasero,Travesano trasero comoda,1170,100,1,si,#C19A6B,15,"T,B,L,R",1
m1-pata-delantera-izq,Pata niveladora delantera izquierda comoda,80,80,1,no,#8B5A2B,15,"T,B,L,R",1
m1-pata-delantera-der,Pata niveladora delantera derecha comoda,80,80,1,no,#8B5A2B,15,"T,B,L,R",1
m1-pata-trasera-izq,Pata niveladora trasera izquierda comoda,80,80,1,no,#8B5A2B,15,"T,B,L,R",1
m1-pata-trasera-der,Pata niveladora trasera derecha comoda,80,80,1,no,#8B5A2B,15,"T,B,L,R",1
m11-cajon-frente,Frente cajon superior M1,1168,187,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon superior M1,395,157,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon superior M1,395,157,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon superior M1,1115,142,1,no,#F2F2F2,15,,11
m11-cajon-cara,Cara cajon superior M1,1115,157,1,no,#D9C2A3,15,"T,B,L,R",11
m11-cajon-base,Base cajon superior M1,1115,395,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon superior M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon medio M1,1168,187,1,si,#8B5A2B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon medio M1,395,157,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon medio M1,395,157,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon medio M1,1115,142,1,no,#F2F2F2,15,,12
m12-cajon-cara,Cara cajon medio M1,1115,157,1,no,#D9C2A3,15,"T,B,L,R",12
m12-cajon-base,Base cajon medio M1,1115,395,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon medio M1,2,20,1,no,#A0A0A0,5,,12
m13-cajon-frente,Frente cajon inferior M1,1168,187,1,si,#8B5A2B,15,"T,B,L,R",13
m13-cajon-lateral-izq,Lateral cajon inferior M1,395,157,1,no,#D9C2A3,15,"T,B,L",13
m13-cajon-lateral-der,Lateral cajon inferior M1,395,157,1,no,#D9C2A3,15,"T,B,R",13
m13-cajon-fondo,Fondo cajon inferior M1,1115,142,1,no,#F2F2F2,15,,13
m13-cajon-cara,Cara cajon inferior M1,1115,157,1,no,#D9C2A3,15,"T,B,L,R",13
m13-cajon-base,Base cajon inferior M1,1115,395,1,si,#D9C2A3,15,"T,B,L,R",13
m13-cajon-tirador,Tirador cajon inferior M1,2,20,1,no,#A0A0A0,5,,13
