# CutterNest Piezas v1
# Consola de recibidor con cajón amplio.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
glb-zocalo,Zocalo consola,1000,100,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-tapa,Tapa consola,1000,40,1,si,#C19A6B,30,"T,B,L,R",estructura
glb-trasera,Panel posterior consola,1000,850,1,no,#F2F2F2,15,,estructura
m1-base,Base consola,1000,300,1,si,#C19A6B,30,"T,B,L,R",m1
m1-tapa,Tapa consola,1000,300,1,si,#C19A6B,30,"T,B,L,R",m1
m1-lateral-izq,Lateral izquierdo consola,300,850,1,no,#C19A6B,15,"T,B,L",m1
m1-lateral-der,Lateral derecho consola,300,850,1,no,#C19A6B,15,"T,B,R",m1
m1-fondo,Fondo consola,1000,850,1,no,#F2F2F2,15,,m1
m1-cajon-frente,Frente cajon consola,840,150,1,si,#8B5A2B,15,"T,B,L,R",m1
m1-cajon-lateral-izq,Lateral cajon consola,120,600,1,no,#D9C2A3,15,"T,B,L",m1
m1-cajon-lateral-der,Lateral cajon consola,120,600,1,no,#D9C2A3,15,"T,B,R",m1
m1-cajon-fondo,Fondo cajon consola,800,600,1,no,#F2F2F2,15,,m1
m1-cajon-base,Base cajon consola,800,600,1,si,#D9C2A3,15,"T,B,L,R",m1
m1-cajon-tirador,Tirador cajon consola,2,20,1,no,#A0A0A0,5,,m1
