# CutterNest Piezas v1
# Estantería alta abierta para salón o estudio con 4 repisas ajustables.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
glb-zocalo,Zocalo estanteria,900,80,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-tapa,Tapa estanteria,900,40,1,si,#C19A6B,30,"T,B,L,R",estructura
glb-trasera,Panel posterior estanteria,900,1800,1,no,#F2F2F2,15,,estructura
m1-base,Base estanteria,900,300,1,si,#C19A6B,30,"T,B,L,R",m1
m1-tapa,Tapa estanteria,900,300,1,si,#C19A6B,30,"T,B,L,R",m1
m1-lateral-izq,Lateral izquierdo estanteria,300,1800,1,no,#C19A6B,15,"T,B,L",m1
m1-lateral-der,Lateral derecho estanteria,300,1800,1,no,#C19A6B,15,"T,B,R",m1
m1-fondo,Fondo estanteria,900,1800,1,no,#F2F2F2,15,,m1
m1-repisa-1,Repisa 1 estanteria,840,250,1,si,#D9C2A3,15,"T,B,L,R",m1
m1-repisa-2,Repisa 2 estanteria,840,250,1,si,#D9C2A3,15,"T,B,L,R",m1
m1-repisa-3,Repisa 3 estanteria,840,250,1,si,#D9C2A3,15,"T,B,L,R",m1
m1-repisa-4,Repisa 4 estanteria,840,250,1,si,#D9C2A3,15,"T,B,L,R",m1
