# CutterNest Piezas v1
# Ejemplo de mesa de noche / velador
# Módulo con 1 cajón, base, tapa, laterales y fondo.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
m1-base,Base modulo M1,500,400,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,500,400,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,400,500,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,400,500,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,500,500,1,no,#F2F2F2,15,"",1
m11-cajon-frente,Frente cajon M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon M1,180,450,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon M1,180,450,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon M1,360,450,1,no,#F2F2F2,15,,11
m11-cajon-base,Base cajon M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon M1,2,20,1,no,#A0A0A0,5,,11
