# CutterNest Piezas v1
# Ejemplo de zapatera-repisa con riel móvil
# Módulo de clóset 800×1800×500 con 6 bandejas zapatera extraíbles en correderas telescópicas de extensión total. Cada bandeja: caja de 7 piezas (frente + 2 laterales + base + fondo + cara + divisor central, sin tirador).
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
m1-base,Base modulo M1,800,500,1,si,#8B5A2B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,800,500,1,si,#8B5A2B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,500,1800,1,no,#8B5A2B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,500,1800,1,no,#8B5A2B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,800,1800,1,no,#F2F2F2,15,"",1
m11-zapatera-repisa-frente,Frente zapatera repisa extraible 1,768,130,1,si,#C19A6B,15,"T,B,L,R",11
m11-zapatera-repisa-lateral-izq,Lateral zapatera repisa extraible 1 izq,445,100,1,no,#D9C2A3,15,"T,B,L",11
m11-zapatera-repisa-lateral-der,Lateral zapatera repisa extraible 1 der,445,100,1,no,#D9C2A3,15,"T,B,R",11
m11-zapatera-repisa-fondo,Fondo zapatera repisa extraible 1,715,82,1,no,#F2F2F2,15,"",11
m11-zapatera-repisa-cara,Cara zapatera repisa extraible 1,715,100,1,no,#D9C2A3,15,"T,B,L,R",11
m11-zapatera-repisa-divisor,Divisor zapatera repisa extraible 1,715,82,1,no,#D9C2A3,15,"T,B,L,R",11
m11-zapatera-repisa-base,Base bandeja zapatera extraible 1,715,445,1,si,#D9C2A3,18,"T,B,L,R",11
m12-zapatera-repisa-frente,Frente zapatera repisa extraible 2,768,130,1,si,#C19A6B,15,"T,B,L,R",12
m12-zapatera-repisa-lateral-izq,Lateral zapatera repisa extraible 2 izq,445,100,1,no,#D9C2A3,15,"T,B,L",12
m12-zapatera-repisa-lateral-der,Lateral zapatera repisa extraible 2 der,445,100,1,no,#D9C2A3,15,"T,B,R",12
m12-zapatera-repisa-fondo,Fondo zapatera repisa extraible 2,715,82,1,no,#F2F2F2,15,"",12
m12-zapatera-repisa-cara,Cara zapatera repisa extraible 2,715,100,1,no,#D9C2A3,15,"T,B,L,R",12
m12-zapatera-repisa-divisor,Divisor zapatera repisa extraible 2,715,82,1,no,#D9C2A3,15,"T,B,L,R",12
m12-zapatera-repisa-base,Base bandeja zapatera extraible 2,715,445,1,si,#D9C2A3,18,"T,B,L,R",12
m13-zapatera-repisa-frente,Frente zapatera repisa extraible 3,768,130,1,si,#C19A6B,15,"T,B,L,R",13
m13-zapatera-repisa-lateral-izq,Lateral zapatera repisa extraible 3 izq,445,100,1,no,#D9C2A3,15,"T,B,L",13
m13-zapatera-repisa-lateral-der,Lateral zapatera repisa extraible 3 der,445,100,1,no,#D9C2A3,15,"T,B,R",13
m13-zapatera-repisa-fondo,Fondo zapatera repisa extraible 3,715,82,1,no,#F2F2F2,15,"",13
m13-zapatera-repisa-cara,Cara zapatera repisa extraible 3,715,100,1,no,#D9C2A3,15,"T,B,L,R",13
m13-zapatera-repisa-divisor,Divisor zapatera repisa extraible 3,715,82,1,no,#D9C2A3,15,"T,B,L,R",13
m13-zapatera-repisa-base,Base bandeja zapatera extraible 3,715,445,1,si,#D9C2A3,18,"T,B,L,R",13
m14-zapatera-repisa-frente,Frente zapatera repisa extraible 4,768,130,1,si,#C19A6B,15,"T,B,L,R",14
m14-zapatera-repisa-lateral-izq,Lateral zapatera repisa extraible 4 izq,445,100,1,no,#D9C2A3,15,"T,B,L",14
m14-zapatera-repisa-lateral-der,Lateral zapatera repisa extraible 4 der,445,100,1,no,#D9C2A3,15,"T,B,R",14
m14-zapatera-repisa-fondo,Fondo zapatera repisa extraible 4,715,82,1,no,#F2F2F2,15,"",14
m14-zapatera-repisa-cara,Cara zapatera repisa extraible 4,715,100,1,no,#D9C2A3,15,"T,B,L,R",14
m14-zapatera-repisa-divisor,Divisor zapatera repisa extraible 4,715,82,1,no,#D9C2A3,15,"T,B,L,R",14
m14-zapatera-repisa-base,Base bandeja zapatera extraible 4,715,445,1,si,#D9C2A3,18,"T,B,L,R",14
m15-zapatera-repisa-frente,Frente zapatera repisa extraible 5,768,130,1,si,#C19A6B,15,"T,B,L,R",15
m15-zapatera-repisa-lateral-izq,Lateral zapatera repisa extraible 5 izq,445,100,1,no,#D9C2A3,15,"T,B,L",15
m15-zapatera-repisa-lateral-der,Lateral zapatera repisa extraible 5 der,445,100,1,no,#D9C2A3,15,"T,B,R",15
m15-zapatera-repisa-fondo,Fondo zapatera repisa extraible 5,715,82,1,no,#F2F2F2,15,"",15
m15-zapatera-repisa-cara,Cara zapatera repisa extraible 5,715,100,1,no,#D9C2A3,15,"T,B,L,R",15
m15-zapatera-repisa-divisor,Divisor zapatera repisa extraible 5,715,82,1,no,#D9C2A3,15,"T,B,L,R",15
m15-zapatera-repisa-base,Base bandeja zapatera extraible 5,715,445,1,si,#D9C2A3,18,"T,B,L,R",15
m16-zapatera-repisa-frente,Frente zapatera repisa extraible 6,768,130,1,si,#C19A6B,15,"T,B,L,R",16
m16-zapatera-repisa-lateral-izq,Lateral zapatera repisa extraible 6 izq,445,100,1,no,#D9C2A3,15,"T,B,L",16
m16-zapatera-repisa-lateral-der,Lateral zapatera repisa extraible 6 der,445,100,1,no,#D9C2A3,15,"T,B,R",16
m16-zapatera-repisa-fondo,Fondo zapatera repisa extraible 6,715,82,1,no,#F2F2F2,15,"",16
m16-zapatera-repisa-cara,Cara zapatera repisa extraible 6,715,100,1,no,#D9C2A3,15,"T,B,L,R",16
m16-zapatera-repisa-divisor,Divisor zapatera repisa extraible 6,715,82,1,no,#D9C2A3,15,"T,B,L,R",16
m16-zapatera-repisa-base,Base bandeja zapatera extraible 6,715,445,1,si,#D9C2A3,18,"T,B,L,R",16
