# CutterNest Piezas v1
# Ejemplo de clóset completo: 4 módulos con estructura global y submódulos padre-hijo.
# - Estructura global: zócalo, corona, trasera de anclaje, cantoneras y tirantes a pared.
# - Módulo 1: estantes.
# - Módulo 2: cajonera doble con barra corta (submódulos 21 y 22).
# - Módulo 3: cajonera doble con barra larga (submódulos 31 y 32).
# - Módulo 4: zapatero con estantes y divisor.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global de union y anclaje a pared ---
glb-zocalo-corrido,Zócalo corrido,1830,100,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-corona,Corona / Tapa corrida,1830,100,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-trasera,Trasera de anclaje,1830,2300,1,no,#F2F2F2,15,,estructura
glb-cantonera-izq,Cantonera unión izquierda,60,60,1,no,#9CA3AF,15,"T,B,L,R",estructura
glb-cantonera-centro-1,Cantonera unión centro 1,60,60,1,no,#9CA3AF,15,"T,B,L,R",estructura
glb-cantonera-centro-2,Cantonera unión centro 2,60,60,1,no,#9CA3AF,15,"T,B,L,R",estructura
glb-cantonera-der,Cantonera unión derecha,60,60,1,no,#9CA3AF,15,"T,B,L,R",estructura
glb-tirante-pared-1,Tirante anclaje pared 1,80,80,1,no,#A0A0A0,15,,estructura
glb-tirante-pared-2,Tirante anclaje pared 2,80,80,1,no,#A0A0A0,15,,estructura
glb-tirante-pared-3,Tirante anclaje pared 3,80,80,1,no,#A0A0A0,15,,estructura

# --- Modulo 1: estantes ---
m1-base,Base módulo M1,450,520,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa módulo M1,450,550,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,2300,550,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,2300,550,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo módulo M1,450,2300,1,no,#F2F2F2,15,,1
m1-estante,Estante regulable M1,390,380,4,si,#D9C2A3,15,"T,B,L,R",1

