# CutterNest Piezas v1
# Botellero de cocina con entrepaños para botellas.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
glb-zocalo,Zocalo botellero,600,100,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-tapa,Tapa botellero,600,40,1,si,#C19A6B,30,"T,B,L,R",estructura
glb-trasera,Panel posterior botellero,600,1200,1,no,#F2F2F2,15,,estructura
m1-base,Base botellero,600,300,1,si,#C19A6B,30,"T,B,L,R",m1
m1-tapa,Tapa botellero,600,300,1,si,#C19A6B,30,"T,B,L,R",m1
m1-lateral-izq,Lateral izquierdo botellero,300,1200,1,no,#C19A6B,15,"T,B,L",m1
m1-lateral-der,Lateral derecho botellero,300,1200,1,no,#C19A6B,15,"T,B,R",m1
m1-fondo,Fondo botellero,600,1200,1,no,#F2F2F2,15,,m1
m1-entrepaño-1,Entrepaño botellero 1,540,250,1,si,#D9C2A3,15,"T,B,L,R",m1
m1-entrepaño-2,Entrepaño botellero 2,540,250,1,si,#D9C2A3,15,"T,B,L,R",m1
m1-entrepaño-3,Entrepaño botellero 3,540,250,1,si,#D9C2A3,15,"T,B,L,R",m1
m1-entrepaño-4,Entrepaño botellero 4,540,250,1,si,#D9C2A3,15,"T,B,L,R",m1
