# CutterNest Piezas v1
# Ejemplo de bufetero / aparador
# Módulo bajo y ancho con 2 puertas y 1 repisa interna.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
m1-base,Base modulo M1,1600,500,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,1600,500,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,500,900,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,500,900,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,1600,900,1,no,#F2F2F2,15,"",1
m1-repisa,Repisa interna,1540,480,1,si,#D9C2A3,15,"T,B,L,R",1
m1-puerta-izq,Puerta izquierda,765,830,1,no,#FFFFFF,18,"T,B,L,R",1
m1-puerta-der,Puerta derecha,765,830,1,no,#FFFFFF,18,"T,B,L,R",1
m1-tirador-izq,Tirador puerta izq,2,20,1,no,#A0A0A0,5,"",1
m1-tirador-der,Tirador puerta der,2,20,1,no,#A0A0A0,5,"",1
