# CutterNest Piezas v1
# Ejemplo de buro 3 cajones
# Buro a piso 500×720×400 (base + tapa + 2 laterales + fondo de 15 mm) con 3 vanos apilados iguales y un cajon de 6 piezas por vano (modelo cajon()). Herrajes: 3 pares de correderas telescopicas 400 mm y 3 tiradores.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
m1-base,Base modulo M1,500,400,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,500,400,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,400,720,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,400,720,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,470,690,1,no,#F2F2F2,15,"",1
m11-cajon-frente,Frente cajon superior M1,468,227,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon superior M1,345,197,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon superior M1,345,197,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon superior M1,415,182,1,no,#F2F2F2,15,,11
m11-cajon-cara,Cara cajon superior M1,415,197,1,no,#D9C2A3,15,"T,B,L,R",11
m11-cajon-base,Base cajon superior M1,415,345,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon superior M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon medio M1,468,227,1,si,#8B5A2B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon medio M1,345,197,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon medio M1,345,197,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon medio M1,415,182,1,no,#F2F2F2,15,,12
m12-cajon-cara,Cara cajon medio M1,415,197,1,no,#D9C2A3,15,"T,B,L,R",12
m12-cajon-base,Base cajon medio M1,415,345,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon medio M1,2,20,1,no,#A0A0A0,5,,12
m13-cajon-frente,Frente cajon inferior M1,468,227,1,si,#8B5A2B,15,"T,B,L,R",13
m13-cajon-lateral-izq,Lateral cajon inferior M1,345,197,1,no,#D9C2A3,15,"T,B,L",13
m13-cajon-lateral-der,Lateral cajon inferior M1,345,197,1,no,#D9C2A3,15,"T,B,R",13
m13-cajon-fondo,Fondo cajon inferior M1,415,182,1,no,#F2F2F2,15,,13
m13-cajon-cara,Cara cajon inferior M1,415,197,1,no,#D9C2A3,15,"T,B,L,R",13
m13-cajon-base,Base cajon inferior M1,415,345,1,si,#D9C2A3,15,"T,B,L,R",13
m13-cajon-tirador,Tirador cajon inferior M1,2,20,1,no,#A0A0A0,5,,13
