# CutterNest Piezas v1
# Ejemplo de cajonera con correderas ocultas
# Cajonera 600×900×450 con 3 cajones en correderas ocultas de extensión total (estilo Blum Tandem / Häfele Matrix UM). Caja sin holgura lateral (laterales de 16 mm al ras del frente) y alto de cajón = vano − 23 mm (maxHeightDeduction); base, fondo y cara interiores = vano − 42 mm (deducción de catálogo).
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
m1-base,Base modulo M1,600,450,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,600,450,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,450,900,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,450,900,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,600,900,1,no,#F2F2F2,15,"",1
m11-cajon-frente,Frente cajon oculto 1 M1,568,287,1,si,#8B5A2B,16,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon oculto 1 izq M1,400,267,1,no,#D9C2A3,16,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon oculto 1 der M1,400,267,1,no,#D9C2A3,16,"T,B,R",11
m11-cajon-fondo,Fondo cajon oculto 1 M1,528,267,1,no,#F2F2F2,16,,11
m11-cajon-cara,Cara cajon oculto 1 M1,528,267,1,no,#D9C2A3,16,"T,B,L,R",11
m11-cajon-base,Base cajon oculto 1 M1,528,400,1,si,#D9C2A3,16,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon oculto 1 M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon oculto 2 M1,568,287,1,si,#8B5A2B,16,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon oculto 2 izq M1,400,267,1,no,#D9C2A3,16,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon oculto 2 der M1,400,267,1,no,#D9C2A3,16,"T,B,R",12
m12-cajon-fondo,Fondo cajon oculto 2 M1,528,267,1,no,#F2F2F2,16,,12
m12-cajon-cara,Cara cajon oculto 2 M1,528,267,1,no,#D9C2A3,16,"T,B,L,R",12
m12-cajon-base,Base cajon oculto 2 M1,528,400,1,si,#D9C2A3,16,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon oculto 2 M1,2,20,1,no,#A0A0A0,5,,12
m13-cajon-frente,Frente cajon oculto 3 M1,568,287,1,si,#8B5A2B,16,"T,B,L,R",13
m13-cajon-lateral-izq,Lateral cajon oculto 3 izq M1,400,267,1,no,#D9C2A3,16,"T,B,L",13
m13-cajon-lateral-der,Lateral cajon oculto 3 der M1,400,267,1,no,#D9C2A3,16,"T,B,R",13
m13-cajon-fondo,Fondo cajon oculto 3 M1,528,267,1,no,#F2F2F2,16,,13
m13-cajon-cara,Cara cajon oculto 3 M1,528,267,1,no,#D9C2A3,16,"T,B,L,R",13
m13-cajon-base,Base cajon oculto 3 M1,528,400,1,si,#D9C2A3,16,"T,B,L,R",13
m13-cajon-tirador,Tirador cajon oculto 3 M1,2,20,1,no,#A0A0A0,5,,13
