# CutterNest Piezas v1
# Ejemplo de closet interior
# Closet abierto 1800×2200×550 sin puertas (perchero), compatible con sistema de puertas corredizas: zocalo-cajon corrido 150 (patron ejemplo-closet-zocalo-cajon) + tapa corrida y 3 modulos de 600 con base propia: M1 doble colgado (2 barras cromadas a dos alturas + repisa superior), M2 cajonera interior (6 cajones de frentes mixtos: delgado 130 accesorios, 4 estandar 200, profundo 280 sueteres) y M3 zapatera interior (bandeja zapatero fija inferior + 4 bandejas zapatera extraibles de 6 piezas + repisa superior). Herrajes: barras cromadas Ø25 y correderas telescopicas.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global: zocalo-cajon (sin base global) ---
glb-zocalo,Zocalo corrido closet interior,1800,150,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-zocalo-lateral-izq,Lateral zocalo izquierdo closet interior,550,150,1,no,#C19A6B,15,"T,B,L",estructura
glb-zocalo-lateral-der,Lateral zocalo derecho closet interior,550,150,1,no,#C19A6B,15,"T,B,R",estructura
glb-tapa,Tapa corrida closet interior,1800,550,1,si,#D9C2A3,18,"T,B,L,R",estructura
# --- Modulo 1: doble colgado (2 barras a dos alturas + repisa superior) ---
m1-base,Base modulo M1,570,520,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,600,550,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,550,2200,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,550,2200,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,570,2170,1,no,#F2F2F2,15,"",1
m1-barra-alta,Barra colgadora alta M1,570,25,1,si,#A0A0A0,25,"",1
m1-barra-baja,Barra colgadora baja M1,570,25,1,si,#A0A0A0,25,"",1
m1-repisa-superior,Repisa superior M1,570,450,1,si,#D9C2A3,15,"T,B,L,R",1
# --- Modulo 2: cajonera interior con frentes mixtos (delgado 130, estandar 200, profundo 280) ---
m2-base,Base modulo M2,570,520,1,si,#8B5A2B,15,"T,B,L,R",2
m2-tapa,Tapa modulo M2,600,550,1,si,#8B5A2B,15,"T,B,L,R",2
m2-lateral-izq,Lateral izquierdo M2,550,2200,1,no,#8B5A2B,15,"T,B,L",2
m2-lateral-der,Lateral derecho M2,550,2200,1,no,#8B5A2B,15,"T,B,R",2
m2-fondo,Fondo modulo M2,570,2170,1,no,#F2F2F2,15,"",2
m21-cajon-frente,Frente cajon accesorios M2,568,127,1,si,#C19A6B,15,"T,B,L,R",21
m21-cajon-lateral-izq,Lateral cajon accesorios M2,495,97,1,no,#D9C2A3,15,"T,B,L",21
m21-cajon-lateral-der,Lateral cajon accesorios M2,495,97,1,no,#D9C2A3,15,"T,B,R",21
m21-cajon-fondo,Fondo cajon accesorios M2,515,82,1,no,#F2F2F2,15,,21
m21-cajon-cara,Cara cajon accesorios M2,515,97,1,no,#D9C2A3,15,"T,B,L,R",21
m21-cajon-base,Base cajon accesorios M2,515,495,1,si,#D9C2A3,15,"T,B,L,R",21
m21-cajon-tirador,Tirador cajon accesorios M2,2,20,1,no,#A0A0A0,5,,21
m22-cajon-frente,Frente cajon camisetas M2,568,197,1,si,#C19A6B,15,"T,B,L,R",22
m22-cajon-lateral-izq,Lateral cajon camisetas M2,495,167,1,no,#D9C2A3,15,"T,B,L",22
m22-cajon-lateral-der,Lateral cajon camisetas M2,495,167,1,no,#D9C2A3,15,"T,B,R",22
m22-cajon-fondo,Fondo cajon camisetas M2,515,152,1,no,#F2F2F2,15,,22
m22-cajon-cara,Cara cajon camisetas M2,515,167,1,no,#D9C2A3,15,"T,B,L,R",22
m22-cajon-base,Base cajon camisetas M2,515,495,1,si,#D9C2A3,15,"T,B,L,R",22
m22-cajon-tirador,Tirador cajon camisetas M2,2,20,1,no,#A0A0A0,5,,22
m23-cajon-frente,Frente cajon camisas M2,568,197,1,si,#C19A6B,15,"T,B,L,R",23
m23-cajon-lateral-izq,Lateral cajon camisas M2,495,167,1,no,#D9C2A3,15,"T,B,L",23
m23-cajon-lateral-der,Lateral cajon camisas M2,495,167,1,no,#D9C2A3,15,"T,B,R",23
m23-cajon-fondo,Fondo cajon camisas M2,515,152,1,no,#F2F2F2,15,,23
m23-cajon-cara,Cara cajon camisas M2,515,167,1,no,#D9C2A3,15,"T,B,L,R",23
m23-cajon-base,Base cajon camisas M2,515,495,1,si,#D9C2A3,15,"T,B,L,R",23
