id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo,pos_z
m1-zocalo,Zócalo módulo 1,800,100,1,no,#8B5A2B,15,"T,B,L,R",1,
m1-base,Base módulo 1,770,520,1,si,#8B5A2B,15,"T,B,L,R",1,
m1-tapa,Tapa módulo 1,800,550,1,si,#8B5A2B,15,"T,B,L,R",1,
m1-lateral-izq,Lateral izquierdo 1,550,2400,1,no,#8B5A2B,15,"T,B,L",1,
m1-lateral-der,Lateral derecho 1,550,2400,1,no,#8B5A2B,15,"T,B,R",1,
m1-fondo,Fondo módulo 1,770,2370,1,no,#F2F2F2,15,,1,
m1-division-vertical,Division vertical M1,520,2370,1,no,#C19A6B,15,"T,B,L,R",1,
m1-repisa-inf,Repisa inferior 1,770,520,1,no,#C19A6B,15,"T,B,L,R",1,
m1-repisa-sup,Repisa superior 1,770,520,1,no,#C19A6B,15,"T,B,L,R",1,
m1-estante-der-1,Estante regulable derecho 1 M1,377.5,520,3,no,#C19A6B,15,"T,B,L,R",1,
m1-estante-izq-1,Estante regulable izquierdo 1 M1,377.5,520,3,no,#C19A6B,15,"T,B,L,R",1,
m1-zapatero-izq-1,Zapatero inclinado izquierdo 1 M1,377.5,330,3,no,#C19A6B,15,"T,B,L,R",1,
m2-zocalo,Zócalo módulo 2,800,100,1,no,#8B5A2B,15,"T,B,L,R",2,
m2-base,Base módulo 2,770,520,1,si,#C19A6B,15,"T,B,L,R",2,
m2-tapa,Tapa módulo 2,800,550,1,si,#C19A6B,15,"T,B,L,R",2,
m2-lateral-izq,Lateral izquierdo 2,550,2400,1,no,#C19A6B,15,"T,B,L",2,
m2-lateral-der,Lateral derecho 2,550,2400,1,no,#C19A6B,15,"T,B,R",2,
m2-fondo,Fondo módulo 2,770,2370,1,no,#F2F2F2,15,,2,
m2-repisa-sup,Repisa superior 2,770,520,1,no,#C19A6B,15,"T,B,L,R",2,
m2-barra,Barra colgadora 2,770,25,1,no,#A0A0A0,25,,2,
m2-estante-1,Estante regulable 1 2,770,520,2,no,#C19A6B,15,"T,B,L,R",2,
m2-zapatero-1,Zapatero inclinado 1 2,770,330,2,no,#C19A6B,15,"T,B,L,R",2,
m3-zocalo,Zócalo módulo 3,800,100,1,no,#8B5A2B,15,"T,B,L,R",3,
m3-base,Base módulo 3,770,520,1,si,#C19A6B,15,"T,B,L,R",3,
m3-tapa,Tapa módulo 3,800,550,1,si,#C19A6B,15,"T,B,L,R",3,
m3-lateral-izq,Lateral izquierdo 3,550,2400,1,no,#C19A6B,15,"T,B,L",3,
m3-lateral-der,Lateral derecho 3,550,2400,1,no,#C19A6B,15,"T,B,R",3,
m3-fondo,Fondo módulo 3,770,2370,1,no,#F2F2F2,15,,3,
m3-repisa-sup,Repisa superior 3,770,520,1,no,#C19A6B,15,"T,B,L,R",3,
m3-barra,Barra colgadora 3,770,25,1,no,#A0A0A0,25,,3,
m3-estante-1,Estante regulable 1 3,770,520,2,no,#C19A6B,15,"T,B,L,R",3,
m3-zapatero-1,Zapatero inclinado 1 3,770,330,2,no,#C19A6B,15,"T,B,L,R",3,
m4-zocalo,Zócalo módulo 4,800,100,1,no,#8B5A2B,15,"T,B,L,R",4,
m4-base,Base módulo 4,770,520,1,si,#8B5A2B,15,"T,B,L,R",4,
m4-tapa,Tapa módulo 4,800,550,1,si,#8B5A2B,15,"T,B,L,R",4,
m4-lateral-izq,Lateral izquierdo 4,550,2400,1,no,#8B5A2B,15,"T,B,L",4,
m4-lateral-der,Lateral derecho 4,550,2400,1,no,#8B5A2B,15,"T,B,R",4,
m4-fondo,Fondo módulo 4,770,2370,1,no,#F2F2F2,15,,4,
m4-division-vertical,Division vertical M4,520,2370,1,no,#C19A6B,15,"T,B,L,R",4,
m4-repisa-inf,Repisa inferior 4,770,520,1,no,#C19A6B,15,"T,B,L,R",4,
m4-repisa-sup,Repisa superior 4,770,520,1,no,#C19A6B,15,"T,B,L,R",4,
m4-estante-izq-1,Estante regulable izquierdo 1 M4,377.5,520,3,no,#C19A6B,15,"T,B,L,R",4,
m4-estante-der-1,Estante regulable derecho 1 M4,377.5,520,3,no,#C19A6B,15,"T,B,L,R",4,
m4-zapatero-der-1,Zapatero inclinado derecho 1 M4,377.5,330,3,no,#C19A6B,15,"T,B,L,R",4,
