# CutterNest Piezas v1
# Ejemplo de zapatera de closet por tipo de calzado
# Zapatera de closet abierta 1700×2400×600, melamina 15 mm, 100% modular (2 modulos de 850): zocalo-cajon corrido 150 + tapa corrida. Alturas libres por tipo de calzado: 150 mm (zapatos planos), 170-200 mm (tenis y calzado grueso), 190-220 mm (tacones y botines), 350-450 mm (botas altas). M1 calzado cotidiano: repisa superior + bandejas zapatera extraibles de frente 180 (planos), 200 (tenis) y 220 (tacones, botines). M2 botas altas: 2 vanos abiertos de 450 entre repisas fijas + repisa superior. Las bandejas extraibles mantienen costados bajos (caja 30 mm mas baja que el frente) para ver y sacar el calzado; holgura de rieles 12.7 mm/lado. Todas las repisas de 820 mm de luz llevan refuerzo interior de 100 mm. Herrajes: correderas telescopicas y tiradores.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global: zocalo-cajon corrido (sin base global) ---
glb-zocalo,Zocalo corrido zapatera closet,1700,150,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-zocalo-lateral-izq,Lateral zocalo izquierdo zapatera closet,600,150,1,no,#C19A6B,15,"T,B,L",estructura
glb-zocalo-lateral-der,Lateral zocalo derecho zapatera closet,600,150,1,no,#C19A6B,15,"T,B,R",estructura
glb-tapa,Tapa corrida zapatera closet,1700,600,1,si,#D9C2A3,15,"T,B,L,R",estructura
# --- Modulo 1: calzado cotidiano (bandejas extraibles por altura de calzado) ---
m1-base,Base modulo M1,820,570,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,850,600,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,600,2400,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,600,2400,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,820,2370,1,no,#F2F2F2,15,"",1
m1-repisa-superior,Repisa superior M1,820,400,1,si,#D9C2A3,15,"T,B,L,R",1
m1-refuerzo-repisa,Refuerzo repisa superior M1,820,100,1,si,#C19A6B,15,"T,B,L,R",1
m11-zapatera-frente,Frente zapatera extraible planos M1,818,177,1,si,#8B5A2B,15,"T,B,L,R",11
m11-zapatera-lateral-izq,Lateral zapatera extraible planos izq M1,545,147,1,no,#D9C2A3,15,"T,B,L",11
