# CutterNest Piezas v1
# Clóset organizado en 4 módulos autocontenidos de 450×2300×600 (E=18, fondo 15).
# Cada módulo tiene su propia base, tapa, laterales y fondo; el interior útil es
# 414×2264×567 mm, coherente con puertas (215×2220 + zócalo 80), estantes,
# barra colgadora y zapateros de 414 mm de ancho.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo,pos_z
# --- Modulo 1: cajonera con puertas ---
m1-base,Base modulo M1,450,600,1,si,#C19A6B,18,"T,B,L,R",1,
m1-tapa,Tapa modulo M1,450,600,1,si,#C19A6B,18,"T,B,L,R",1,
m1-lateral-izq,Lateral izquierdo M1,600,2300,1,no,#C19A6B,18,"T,B,L",1,
m1-lateral-der,Lateral derecho M1,600,2300,1,no,#C19A6B,18,"T,B,R",1,
m1-fondo,Fondo modulo M1,450,2300,1,no,#F2F2F2,15,,1,
m1-zocalo,Zócalo M1,450,80,1,no,#C19A6B,18,"T,B,L,R",1,
m1-puerta-izq,Puerta izquierda M1,215,2220,1,no,#D9C2A3,18,"T,B,L,R",1,
m1-puerta-der,Puerta derecha M1,215,2220,1,no,#D9C2A3,18,"T,B,R",1,
m1-tirador-izq,Tirador izquierdo M1,20,60,1,no,#A0A0A0,5,,1,
m1-tirador-der,Tirador derecho M1,20,60,1,no,#A0A0A0,5,,1,

# --- Modulo 2: estantes ---
m2-base,Base modulo M2,450,600,1,si,#C19A6B,18,"T,B,L,R",2,
m2-tapa,Tapa modulo M2,450,600,1,si,#C19A6B,18,"T,B,L,R",2,
m2-lateral-izq,Lateral izquierdo M2,600,2300,1,no,#C19A6B,18,"T,B,L",2,
m2-lateral-der,Lateral derecho M2,600,2300,1,no,#C19A6B,18,"T,B,R",2,
m2-fondo,Fondo modulo M2,450,2300,1,no,#F2F2F2,15,,2,
m2-zocalo,Zócalo M2,450,80,1,no,#C19A6B,18,"T,B,L,R",2,
m2-estante-1,Estante 1 M2,414,560,1,si,#D9C2A3,18,"T,B,L,R",2,
m2-estante-2,Estante 2 M2,414,560,1,si,#D9C2A3,18,"T,B,L,R",2,
m2-estante-3,Estante 3 M2,414,560,1,si,#D9C2A3,18,"T,B,L,R",2,

# --- Modulo 3: barra colgadora ---
m3-base,Base modulo M3,450,600,1,si,#C19A6B,18,"T,B,L,R",3,
m3-tapa,Tapa modulo M3,450,600,1,si,#C19A6B,18,"T,B,L,R",3,
m3-lateral-izq,Lateral izquierdo M3,600,2300,1,no,#C19A6B,18,"T,B,L",3,
m3-lateral-der,Lateral derecho M3,600,2300,1,no,#C19A6B,18,"T,B,R",3,
m3-fondo,Fondo modulo M3,450,2300,1,no,#F2F2F2,15,,3,
m3-zocalo,Zócalo M3,450,80,1,no,#C19A6B,18,"T,B,L,R",3,
m3-barra,Barra colgadora M3,414,25,1,no,#A0A0A0,25,,3,
m3-estante,Estante M3,414,560,1,si,#D9C2A3,18,"T,B,L,R",3,

# --- Modulo 4: zapateros ---
m4-base,Base modulo M4,450,600,1,si,#C19A6B,18,"T,B,L,R",4,
m4-tapa,Tapa modulo M4,450,600,1,si,#C19A6B,18,"T,B,L,R",4,
m4-lateral-izq,Lateral izquierdo M4,600,2300,1,no,#C19A6B,18,"T,B,L",4,
m4-lateral-der,Lateral derecho M4,600,2300,1,no,#C19A6B,18,"T,B,R",4,
m4-fondo,Fondo modulo M4,450,2300,1,no,#F2F2F2,15,,4,
m4-zocalo,Zócalo M4,450,80,1,no,#C19A6B,18,"T,B,L,R",4,
m4-zapatero-1,Zapatero 1 M4,414,300,1,no,#D9C2A3,18,"T,B,L,R",4,
m4-zapatero-2,Zapatero 2 M4,414,300,1,no,#D9C2A3,18,"T,B,R",4,
m4-zapatero-3,Zapatero 3 M4,414,300,1,no,#D9C2A3,18,"T,B,L,R",4,
