# CutterNest Piezas v1
# Ejemplo de comoda con zocalo-cajon
# Zocalo completo 1200×150 (frente + laterales, sin base global) + 2 modulos cajonera 600×900×450 con su propia base interna apoyada sobre el zocalo y tapa corrida.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global: zocalo-cajon (sin base global) ---
glb-zocalo,Zocalo corrido comoda,1200,150,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-zocalo-lateral-izq,Lateral zocalo izquierdo comoda,450,150,1,no,#C19A6B,15,"T,B,L",estructura
glb-zocalo-lateral-der,Lateral zocalo derecho comoda,450,150,1,no,#C19A6B,15,"T,B,R",estructura
glb-tapa,Tapa corrida comoda,1200,450,1,si,#D9C2A3,18,"T,B,L,R",estructura
# --- Modulo 1: cajonera izquierda ---
m1-base,Base modulo M1,570,420,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,600,450,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,450,900,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,450,900,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,600,900,1,no,#F2F2F2,15,"",1
m11-cajon-frente,Frente cajon superior M1,568,232,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon superior M1,395,202,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon superior M1,395,202,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon superior M1,515,202,1,no,#F2F2F2,15,,11
m11-cajon-cara,Cara cajon superior M1,515,202,1,no,#D9C2A3,15,"T,B,L,R",11
m11-cajon-base,Base cajon superior M1,515,395,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon superior M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon medio M1,568,232,1,si,#8B5A2B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon medio M1,395,202,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon medio M1,395,202,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon medio M1,515,202,1,no,#F2F2F2,15,,12
m12-cajon-cara,Cara cajon medio M1,515,202,1,no,#D9C2A3,15,"T,B,L,R",12
