# CutterNest Piezas v1
# Ejemplo de comoda / chifonier
# 5 cajones verticales en un solo modulo, sin estructura global.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo,pos_z
m1-base,Base modulo M1,900,450,1,si,#C19A6B,15,"T,B,L,R",1,
m1-tapa,Tapa modulo M1,900,450,1,si,#C19A6B,15,"T,B,L,R",1,
m1-lateral-izq,Lateral izquierdo M1,450,600,1,no,#C19A6B,15,"T,B,L",1,
m1-lateral-der,Lateral derecho M1,450,600,1,no,#C19A6B,15,"T,B,R",1,
m1-fondo,Fondo modulo M1,900,600,1,no,#F2F2F2,15,"",1,
m11-cajon-frente,Frente cajon superior M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",11,
m11-cajon-lateral-izq,Lateral cajon superior M1,180,450,1,no,#D9C2A3,15,"T,B,L",11,
m11-cajon-lateral-der,Lateral cajon superior M1,180,450,1,no,#D9C2A3,15,"T,B,R",11,
m11-cajon-fondo,Fondo cajon superior M1,360,450,1,no,#F2F2F2,15,,11,
m11-cajon-base,Base cajon superior M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",11,
m11-cajon-tirador,Tirador cajon superior M1,2,20,1,no,#A0A0A0,5,,11,
m12-cajon-frente,Frente cajon nivel 2 M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",12,
m12-cajon-lateral-izq,Lateral cajon nivel 2 M1,180,450,1,no,#D9C2A3,15,"T,B,L",12,
m12-cajon-lateral-der,Lateral cajon nivel 2 M1,180,450,1,no,#D9C2A3,15,"T,B,R",12,
m12-cajon-fondo,Fondo cajon nivel 2 M1,360,450,1,no,#F2F2F2,15,,12,
m12-cajon-base,Base cajon nivel 2 M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",12,
m12-cajon-tirador,Tirador cajon nivel 2 M1,2,20,1,no,#A0A0A0,5,,12,
m13-cajon-frente,Frente cajon nivel 3 M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",13,
m13-cajon-lateral-izq,Lateral cajon nivel 3 M1,180,450,1,no,#D9C2A3,15,"T,B,L",13,
m13-cajon-lateral-der,Lateral cajon nivel 3 M1,180,450,1,no,#D9C2A3,15,"T,B,R",13,
m13-cajon-fondo,Fondo cajon nivel 3 M1,360,450,1,no,#F2F2F2,15,,13,
m13-cajon-base,Base cajon nivel 3 M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",13,
m13-cajon-tirador,Tirador cajon nivel 3 M1,2,20,1,no,#A0A0A0,5,,13,
m14-cajon-frente,Frente cajon nivel 4 M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",14,
m14-cajon-lateral-izq,Lateral cajon nivel 4 M1,180,450,1,no,#D9C2A3,15,"T,B,L",14,
m14-cajon-lateral-der,Lateral cajon nivel 4 M1,180,450,1,no,#D9C2A3,15,"T,B,R",14,
m14-cajon-fondo,Fondo cajon nivel 4 M1,360,450,1,no,#F2F2F2,15,,14,
m14-cajon-base,Base cajon nivel 4 M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",14,
m14-cajon-tirador,Tirador cajon nivel 4 M1,2,20,1,no,#A0A0A0,5,,14,
m15-cajon-frente,Frente cajon inferior M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",15,
m15-cajon-lateral-izq,Lateral cajon inferior M1,180,450,1,no,#D9C2A3,15,"T,B,L",15,
m15-cajon-lateral-der,Lateral cajon inferior M1,180,450,1,no,#D9C2A3,15,"T,B,R",15,
m15-cajon-fondo,Fondo cajon inferior M1,360,450,1,no,#F2F2F2,15,,15,
m15-cajon-base,Base cajon inferior M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",15,
m15-cajon-tirador,Tirador cajon inferior M1,2,20,1,no,#A0A0A0,5,,15,
