# CutterNest Piezas v1
# Consola de recibidor con cajón amplio.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
glb-zocalo,Zocalo consola,1000,100,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-tapa,Tapa consola,1000,40,1,si,#C19A6B,30,"T,B,L,R",estructura
glb-trasera,Panel posterior consola,1000,850,1,no,#F2F2F2,15,,estructura
m1-base,Base consola,1000,300,1,si,#C19A6B,30,"T,B,L,R",m1
m1-tapa,Tapa consola,1000,300,1,si,#C19A6B,30,"T,B,L,R",m1
m1-lateral-izq,Lateral izquierdo consola,300,850,1,no,#C19A6B,15,"T,B,L",m1
m1-lateral-der,Lateral derecho consola,300,850,1,no,#C19A6B,15,"T,B,R",m1
m1-fondo,Fondo consola,970,820,1,no,#F2F2F2,15,,m1
m11-frente,Frente cajon 1,968,147,1,si,#8B5A2B,15,"T,B,L,R",m11
m11-lateral-izq,Lateral cajon 1,245,117,1,no,#D9C2A3,15,"T,B,L",m11
m11-lateral-der,Lateral cajon 1,245,117,1,no,#D9C2A3,15,"T,B,R",m11
m11-fondo,Fondo cajon 1,915,102,1,no,#F2F2F2,15,,m11
m11-cara,Cara cajon 1,915,117,1,no,#D9C2A3,15,"T,B,L,R",m11
m11-base,Base cajon 1,915,245,1,si,#D9C2A3,15,"T,B,L,R",m11
m11-tirador,Tirador cajon 1,2,20,1,no,#A0A0A0,5,,m11
