# CutterNest Piezas v1
# Ejemplo de escritorio
# Estructura global tipo tablero + cajoneras laterales y repisa superior.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo,pos_z
# --- Estructura global ---
glb-tablero,Tablero escritorio,1600,700,1,si,#D9C2A3,30,"T,B,L,R",estructura,
glb-zocalo,Zocalo escritorio,1600,100,1,si,#C19A6B,15,"T,B,L,R",estructura,
# --- Modulo 1: cajonera izquierda ---
m1-base,Base modulo M1,400,560,1,si,#C19A6B,15,"T,B,L,R",1,
m1-tapa,Tapa modulo M1,400,560,1,si,#C19A6B,15,"T,B,L,R",1,
m1-lateral-izq,Lateral izquierdo M1,560,700,1,no,#C19A6B,15,"T,B,L",1,
m1-lateral-der,Lateral derecho M1,560,700,1,no,#C19A6B,15,"T,B,R",1,
m1-fondo,Fondo modulo M1,400,700,1,no,#F2F2F2,15,"",1,
m11-cajon-frente,Frente cajon superior M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",11,
m11-cajon-lateral-izq,Lateral cajon superior M1,180,450,1,no,#D9C2A3,15,"T,B,L",11,
m11-cajon-lateral-der,Lateral cajon superior M1,180,450,1,no,#D9C2A3,15,"T,B,R",11,
m11-cajon-fondo,Fondo cajon superior M1,360,450,1,no,#F2F2F2,15,,11,
m11-cajon-base,Base cajon superior M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",11,
m11-cajon-tirador,Tirador cajon superior M1,2,20,1,no,#A0A0A0,5,,11,
m12-cajon-frente,Frente cajon inferior M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",12,
m12-cajon-lateral-izq,Lateral cajon inferior M1,180,450,1,no,#D9C2A3,15,"T,B,L",12,
m12-cajon-lateral-der,Lateral cajon inferior M1,180,450,1,no,#D9C2A3,15,"T,B,R",12,
m12-cajon-fondo,Fondo cajon inferior M1,360,450,1,no,#F2F2F2,15,,12,
m12-cajon-base,Base cajon inferior M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",12,
m12-cajon-tirador,Tirador cajon inferior M1,2,20,1,no,#A0A0A0,5,,12,
# --- Modulo 2: cajonera derecha ---
m2-base,Base modulo M2,400,560,1,si,#8B5A2B,15,"T,B,L,R",2,
m2-tapa,Tapa modulo M2,400,560,1,si,#8B5A2B,15,"T,B,L,R",2,
m2-lateral-izq,Lateral izquierdo M2,560,700,1,no,#8B5A2B,15,"T,B,L",2,
m2-lateral-der,Lateral derecho M2,560,700,1,no,#8B5A2B,15,"T,B,R",2,
m2-fondo,Fondo modulo M2,400,700,1,no,#F2F2F2,15,"",2,
m21-cajon-frente,Frente cajon superior M2,400,180,1,si,#C19A6B,15,"T,B,L,R",21,
m21-cajon-lateral-izq,Lateral cajon superior M2,180,450,1,no,#D9C2A3,15,"T,B,L",21,
m21-cajon-lateral-der,Lateral cajon superior M2,180,450,1,no,#D9C2A3,15,"T,B,R",21,
m21-cajon-fondo,Fondo cajon superior M2,360,450,1,no,#F2F2F2,15,,21,
m21-cajon-base,Base cajon superior M2,360,450,1,si,#D9C2A3,15,"T,B,L,R",21,
m21-cajon-tirador,Tirador cajon superior M2,2,20,1,no,#A0A0A0,5,,21,
m22-cajon-frente,Frente cajon inferior M2,400,180,1,si,#C19A6B,15,"T,B,L,R",22,
m22-cajon-lateral-izq,Lateral cajon inferior M2,180,450,1,no,#D9C2A3,15,"T,B,L",22,
m22-cajon-lateral-der,Lateral cajon inferior M2,180,450,1,no,#D9C2A3,15,"T,B,R",22,
m22-cajon-fondo,Fondo cajon inferior M2,360,450,1,no,#F2F2F2,15,,22,
m22-cajon-base,Base cajon inferior M2,360,450,1,si,#D9C2A3,15,"T,B,L,R",22,
m22-cajon-tirador,Tirador cajon inferior M2,2,20,1,no,#A0A0A0,5,,22,
# --- Modulo 3: repisa superior ---
m3-base,Base modulo M3,1600,250,1,si,#C19A6B,15,"T,B,L,R",3,
m3-tapa,Tapa modulo M3,1600,250,1,si,#C19A6B,15,"T,B,L,R",3,
m3-lateral-izq,Lateral izquierdo M3,250,300,1,no,#C19A6B,15,"T,B,L",3,
m3-lateral-der,Lateral derecho M3,250,300,1,no,#C19A6B,15,"T,B,R",3,
m3-fondo,Fondo modulo M3,1600,300,1,no,#F2F2F2,15,"",3,
m3-montante-central,Montante central M3,250,300,1,no,#C19A6B,15,"T,B,L,R",3,
m3-travesano,Travesano trasero M3,1540,60,1,si,#D9C2A3,15,"T,B,L,R",3,
m3-repisa-superior,Repisa superior M3,1540,200,1,si,#D9C2A3,15,"T,B,L,R",3,
m3-repisa-inferior,Repisa inferior M3,1540,200,1,si,#D9C2A3,15,"T,B,L,R",3,
