# CutterNest Piezas v1
# Ejemplo de estacion de trabajo
# Escritorio largo 2400×700 con divisor acustico, canaleta de cables y cajonera interior de 2 cajones.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global ---
glb-tablero,Tablero estacion trabajo,2400,700,1,si,#D9C2A3,30,"T,B,L,R",estructura
glb-divisor,Divisor acustico estacion trabajo,350,500,1,no,#C19A6B,18,"T,B,L,R",estructura
glb-canaleta,Canaleta cables estacion trabajo,1200,80,1,si,#C19A6B,18,"T,B,L,R",estructura
glb-pata,Pata metalica estacion trabajo,60,700,2,no,#A0A0A0,5,"",estructura
# --- Modulo 1: cajonera interior de 2 cajones ---
m1-base,Base modulo M1,500,600,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,500,600,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,600,700,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,600,700,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,500,700,1,no,#F2F2F2,15,"",1
m11-cajon-frente,Frente cajon superior M1,468,277,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon superior M1,545,247,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon superior M1,545,247,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon superior M1,415,232,1,no,#F2F2F2,15,,11
m11-cajon-cara,Cara cajon superior M1,415,247,1,no,#D9C2A3,15,"T,B,L,R",11
m11-cajon-base,Base cajon superior M1,415,545,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon superior M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon inferior M1,468,277,1,si,#8B5A2B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon inferior M1,545,247,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon inferior M1,545,247,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon inferior M1,415,232,1,no,#F2F2F2,15,,12
m12-cajon-cara,Cara cajon inferior M1,415,247,1,no,#D9C2A3,15,"T,B,L,R",12
m12-cajon-base,Base cajon inferior M1,415,545,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon inferior M1,2,20,1,no,#A0A0A0,5,,12
