# CutterNest Piezas v1
# Ejemplo de estanteria de oficina
# Estanteria abierta 1200×1900×350 con 5 repisas regulables y divisor vertical (anclaje anti-volcadura a pared).
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global ---
glb-zocalo,Zocalo corrido estanteria oficina,1200,100,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-zocalo-lateral-izq,Lateral zocalo izquierdo estanteria oficina,350,100,1,no,#C19A6B,15,"T,B,L",estructura
glb-zocalo-lateral-der,Lateral zocalo derecho estanteria oficina,350,100,1,no,#C19A6B,15,"T,B,R",estructura
glb-tapa,Tapa estanteria oficina,1200,40,1,si,#C19A6B,30,"T,B,L,R",estructura
glb-trasera,Panel posterior estanteria oficina,1200,1900,1,no,#F2F2F2,15,"",estructura
# --- Modulo 1: casco con 5 repisas y divisor ---
m1-base,Base modulo M1,1170,320,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,1200,350,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,350,2000,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,350,2000,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,1170,1970,1,no,#F2F2F2,15,"",1
m1-divisor-vertical,Divisor vertical estanteria oficina,320,1970,1,no,#C19A6B,15,"T,B,L,R",1
m1-repisa-1,Repisa 1 estanteria oficina,1140,250,1,si,#D9C2A3,15,"T,B,L,R",1
m1-repisa-2,Repisa 2 estanteria oficina,1140,250,1,si,#D9C2A3,15,"T,B,L,R",1
m1-repisa-3,Repisa 3 estanteria oficina,1140,250,1,si,#D9C2A3,15,"T,B,L,R",1
m1-repisa-4,Repisa 4 estanteria oficina,1140,250,1,si,#D9C2A3,15,"T,B,L,R",1
m1-repisa-5,Repisa 5 estanteria oficina,1140,250,1,si,#D9C2A3,15,"T,B,L,R",1
