# CutterNest Piezas v1
# Ejemplo de mueble para TV con zocalo-cajon
# Zocalo completo 1800×150 (frente + laterales, sin base global) + modulo cajonera 600 y modulo de repisas 1200 (ambos 600×450, base interna propia) y tapa corrida.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global: zocalo-cajon (sin base global) ---
glb-zocalo,Zocalo corrido TV,1800,150,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-zocalo-lateral-izq,Lateral zocalo izquierdo TV,450,150,1,no,#C19A6B,15,"T,B,L",estructura
glb-zocalo-lateral-der,Lateral zocalo derecho TV,450,150,1,no,#C19A6B,15,"T,B,R",estructura
glb-tapa,Tapa corrida TV,1800,450,1,si,#D9C2A3,18,"T,B,L,R",estructura
# --- Modulo 1: cajonera (2 cajones, vano 210 → frente 207) ---
m1-base,Base modulo M1,570,420,1,si,#8B5A2B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,600,450,1,si,#8B5A2B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,450,600,1,no,#8B5A2B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,450,600,1,no,#8B5A2B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,600,600,1,no,#F2F2F2,15,"",1
m11-cajon-frente,Frente cajon superior M1,568,207,1,si,#C19A6B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon superior M1,395,177,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon superior M1,395,177,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon superior M1,515,162,1,no,#F2F2F2,15,,11
m11-cajon-cara,Cara cajon superior M1,515,177,1,no,#D9C2A3,15,"T,B,L,R",11
m11-cajon-base,Base cajon superior M1,515,395,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon superior M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon inferior M1,568,207,1,si,#C19A6B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon inferior M1,395,177,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon inferior M1,395,177,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon inferior M1,515,162,1,no,#F2F2F2,15,,12
m12-cajon-cara,Cara cajon inferior M1,515,177,1,no,#D9C2A3,15,"T,B,L,R",12
m12-cajon-base,Base cajon inferior M1,515,395,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon inferior M1,2,20,1,no,#A0A0A0,5,,12
# --- Modulo 2: repisas con divisor central ---
m2-base,Base modulo M2,1170,420,1,si,#C19A6B,15,"T,B,L,R",2
m2-tapa,Tapa modulo M2,1200,450,1,si,#C19A6B,15,"T,B,L,R",2
m2-lateral-izq,Lateral izquierdo M2,450,600,1,no,#C19A6B,15,"T,B,L",2
m2-lateral-der,Lateral derecho M2,450,600,1,no,#C19A6B,15,"T,B,R",2
m2-fondo,Fondo modulo M2,1200,600,1,no,#F2F2F2,15,"",2
m2-divisor-central,Divisor central M2,15,405,1,no,#C19A6B,15,"T,B,L,R",2
m2-repisa-inf-izq,Repisa inferior izquierda M2,570,405,1,si,#D9C2A3,15,"T,B,L,R",2
m2-repisa-inf-der,Repisa inferior derecha M2,570,405,1,si,#D9C2A3,15,"T,B,L,R",2
m2-estante-izq,Estante izquierdo M2,570,405,1,si,#D9C2A3,15,"T,B,L,R",2
m2-estante-der,Estante derecho M2,570,405,1,si,#D9C2A3,15,"T,B,L,R",2
