# CutterNest Piezas v1
# Ejemplo de recepcion / mostrador
# Mostrador alto 2400×1000×700 con frente decorativo continuo, tapa gruesa y cajonera interior con repisa.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global: frente decorativo y tapa ---
glb-frente,Frente decorativo mostrador,2400,1000,1,no,#8B5A2B,18,"T,B,L,R",estructura
glb-tapa,Tapa mostrador,2400,700,1,si,#D9C2A3,30,"T,B,L,R",estructura
# --- Modulo 1: cajonera interior ---
m1-base,Base modulo M1,600,600,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,600,600,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,600,1000,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,600,1000,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,600,1000,1,no,#F2F2F2,15,"",1
m1-repisa,Repisa recepcion,540,400,1,si,#D9C2A3,15,"T,B,L,R",1
m11-cajon-frente,Frente cajon M1,568,397,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon M1,545,367,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon M1,545,367,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon M1,515,367,1,no,#F2F2F2,15,,11
m11-cajon-cara,Cara cajon M1,515,367,1,no,#D9C2A3,15,"T,B,L,R",11
m11-cajon-base,Base cajon M1,515,545,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon M1,2,20,1,no,#A0A0A0,5,,11
