# CutterNest Piezas v1
# Recibidor lineal con cajonera y espejo.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo,pos_z
glb-zocalo,Zocalo recibidor,1200,100,1,si,#C19A6B,15,"T,B,L,R",estructura,
glb-tapa,Tapa recibidor,1200,40,1,si,#C19A6B,30,"T,B,L,R",estructura,
glb-trasera,Panel posterior recibidor,1200,900,1,no,#F2F2F2,15,,estructura,
m1-base,Base recibidor,1200,350,1,si,#C19A6B,30,"T,B,L,R",m1,
m1-tapa,Tapa recibidor,1200,350,1,si,#C19A6B,30,"T,B,L,R",m1,
m1-lateral-izq,Lateral izquierdo recibidor,350,900,1,no,#C19A6B,15,"T,B,L",m1,
m1-lateral-der,Lateral derecho recibidor,350,900,1,no,#C19A6B,15,"T,B,R",m1,
m1-fondo,Fondo recibidor,1200,900,1,no,#F2F2F2,15,,m1,
m11-frente,Frente cajon 1,460,180,1,si,#8B5A2B,15,"T,B,L,R",m11,
m11-lateral-izq,Lateral cajon 1,150,320,1,no,#D9C2A3,15,"T,B,L",m11,
m11-lateral-der,Lateral cajon 1,150,320,1,no,#D9C2A3,15,"T,B,R",m11,
m11-fondo,Fondo cajon 1,420,320,1,no,#F2F2F2,15,,m11,
m11-base,Base cajon 1,420,320,1,si,#D9C2A3,15,"T,B,L,R",m11,
m11-tirador,Tirador cajon 1,2,20,1,no,#A0A0A0,5,,m11,
m2-base,Base recibidor,1200,350,1,si,#C19A6B,30,"T,B,L,R",m2,
m2-tapa,Tapa recibidor,1200,350,1,si,#C19A6B,30,"T,B,L,R",m2,
m2-lateral-izq,Lateral izquierdo recibidor,350,900,1,no,#C19A6B,15,"T,B,L",m2,
m2-lateral-der,Lateral derecho recibidor,350,900,1,no,#C19A6B,15,"T,B,R",m2,
m2-fondo,Fondo recibidor,1200,900,1,no,#F2F2F2,15,,m2,
m2-repisa-superior,Repisa superior recibidor,500,250,1,si,#D9C2A3,15,"T,B,L,R",m2,
m2-repisa-inferior,Repisa inferior recibidor,500,250,1,si,#D9C2A3,15,"T,B,L,R",m2,
m2-espejo,Espejo recibidor,500,500,1,no,#E8F4F8,4,,m2,
