# CutterNest Piezas v1
# Ejemplo de tocador con espejo
# Modulo bajo 1200×800×480 con zocalo corrido y 3 cajones apilados de 6 piezas (mismo modelo que ejemplo-tocador) + alzada de espejo con 2 montantes, tapa, respaldo y 2 puertas de espejo con cristal de 4 mm pegado. Herrajes: bisagras de cazoleta 26 mm (2 por puerta), espejos 4 mm pegados y 3 pares de correderas telescopicas.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global ---
glb-zocalo,Zocalo corrido tocador espejo,1200,100,1,si,#C19A6B,15,"T,B,L,R",estructura
# --- Modulo 1: tocador bajo con 3 cajones (mismo modelo que ejemplo-tocador) ---
m1-base,Base modulo M1,1200,480,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,1200,480,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,480,800,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,480,800,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,1200,800,1,no,#F2F2F2,15,"",1
m11-cajon-frente,Frente cajon superior M1,1168,197,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon superior M1,425,167,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon superior M1,425,167,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon superior M1,1115,152,1,no,#F2F2F2,15,,11
m11-cajon-cara,Cara cajon superior M1,1115,167,1,no,#D9C2A3,15,"T,B,L,R",11
m11-cajon-base,Base cajon superior M1,1115,425,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon superior M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon medio M1,1168,197,1,si,#8B5A2B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon medio M1,425,167,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon medio M1,425,167,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon medio M1,1115,152,1,no,#F2F2F2,15,,12
m12-cajon-cara,Cara cajon medio M1,1115,167,1,no,#D9C2A3,15,"T,B,L,R",12
m12-cajon-base,Base cajon medio M1,1115,425,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon medio M1,2,20,1,no,#A0A0A0,5,,12
m13-cajon-frente,Frente cajon inferior M1,1168,197,1,si,#8B5A2B,15,"T,B,L,R",13
m13-cajon-lateral-izq,Lateral cajon inferior M1,425,167,1,no,#D9C2A3,15,"T,B,L",13
m13-cajon-lateral-der,Lateral cajon inferior M1,425,167,1,no,#D9C2A3,15,"T,B,R",13
m13-cajon-fondo,Fondo cajon inferior M1,1115,152,1,no,#F2F2F2,15,,13
m13-cajon-cara,Cara cajon inferior M1,1115,167,1,no,#D9C2A3,15,"T,B,L,R",13
m13-cajon-base,Base cajon inferior M1,1115,425,1,si,#D9C2A3,15,"T,B,L,R",13
m13-cajon-tirador,Tirador cajon inferior M1,2,20,1,no,#A0A0A0,5,,13
# --- Modulo 2: alzada de espejo (montantes + respaldo, no es casco rectangular) ---
m2-tapa,Tapa alzada M2,1200,300,1,si,#C19A6B,15,"T,B,L,R",2
m2-montante-izq,Montante alzada izquierdo M2,300,900,1,no,#C19A6B,15,"T,B,L",2
m2-montante-der,Montante alzada derecho M2,300,900,1,no,#C19A6B,15,"T,B,R",2
m2-respaldo,Respaldo alzada M2,1200,900,1,no,#F2F2F2,15,"",2
m2-puerta-espejo-izq,Puerta espejo izquierda M2,570,860,1,no,#FFFFFF,18,"T,B,L,R",2
m2-puerta-espejo-der,Puerta espejo derecha M2,570,860,1,no,#FFFFFF,18,"T,B,L,R",2
m2-espejo-izq,Espejo izquierdo alzada M2,500,790,1,no,#E8F4F8,4,"",2
m2-espejo-der,Espejo derecho alzada M2,500,790,1,no,#E8F4F8,4,"",2
