id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
glb-zocalo,Zocalo corrido bano,1800,100,1,si,#C19A6B,15,"T,B,L,R",estructura
glb-tapa-vanitory,Tapa vanitory corrida,1800,520,1,si,#D9C2A3,30,"T,B,L,R",estructura
glb-espejo,Espejo marco,1200,600,1,no,#A0A0A0,5,,estructura
m1-base,Base modulo M1,800,560,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,800,560,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,560,500,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,560,500,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,800,500,1,no,#F2F2F2,15,,1
m11-cajon-frente,Frente cajon izquierdo M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon izquierdo M1,180,450,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon izquierdo M1,180,450,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon izquierdo M1,360,450,1,no,#F2F2F2,15,,11
m11-cajon-base,Base cajon izquierdo M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon izquierdo M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon derecho M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon derecho M1,180,450,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon derecho M1,180,450,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon derecho M1,360,450,1,no,#F2F2F2,15,,12
m12-cajon-base,Base cajon derecho M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon derecho M1,2,20,1,no,#A0A0A0,5,,12
m2-base,Base modulo M2,400,320,1,si,#8B5A2B,15,"T,B,L,R",2
m2-tapa,Tapa modulo M2,400,320,1,si,#8B5A2B,15,"T,B,L,R",2
m2-lateral-izq,Lateral izquierdo M2,320,1200,1,no,#8B5A2B,15,"T,B,L",2
m2-lateral-der,Lateral derecho M2,320,1200,1,no,#8B5A2B,15,"T,B,R",2
m2-fondo,Fondo modulo M2,400,1200,1,no,#F2F2F2,15,,2
m2-estante-1,Estante superior M2,340,280,1,si,#D9C2A3,15,"T,B,L,R",2
m2-estante-2,Estante medio M2,340,280,1,si,#D9C2A3,15,"T,B,L,R",2
m2-estante-3,Estante inferior M2,340,280,1,si,#D9C2A3,15,"T,B,L,R",2
m2-puerta,Puerta torre M2,360,1160,1,no,#FFFFFF,18,"T,B,L,R",2
m3-base,Base modulo M3,600,200,1,si,#C19A6B,15,"T,B,L,R",3
m3-tapa,Tapa modulo M3,600,200,1,si,#C19A6B,15,"T,B,L,R",3
m3-lateral-izq,Lateral izquierdo M3,200,400,1,no,#C19A6B,15,"T,B,L",3
m3-lateral-der,Lateral derecho M3,200,400,1,no,#C19A6B,15,"T,B,R",3
m3-fondo,Fondo modulo M3,600,400,1,no,#F2F2F2,15,,3
m3-repisa,Repisa abierta M3,540,180,2,si,#D9C2A3,15,"T,B,L,R",3
