# CutterNest Piezas v1
# Ejemplo de banco zapatero
# Banco de entrada 900×420×350 con asiento y 2 cajones deslizables a nivel de piso. El planner no modela ruedas: el deslizamiento se resuelve con correderas telescópicas.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
m1-base,Base modulo M1,900,350,1,si,#C19A6B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,900,350,1,si,#C19A6B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,350,420,1,no,#C19A6B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,350,420,1,no,#C19A6B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,870,390,1,no,#F2F2F2,15,"",1
m1-asiento,Asiento banco,900,350,1,si,#D9C2A3,18,"T,B,L,R",1
m11-cajon-frente,Frente cajon izquierdo M1,432,190,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon izquierdo M1,295,160,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon izquierdo M1,295,160,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon izquierdo M1,379,145,1,no,#F2F2F2,15,,11
m11-cajon-cara,Cara cajon izquierdo M1,379,160,1,no,#D9C2A3,15,"T,B,L,R",11
m11-cajon-base,Base cajon izquierdo M1,379,295,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon izquierdo M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon derecho M1,432,190,1,si,#8B5A2B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon derecho M1,295,160,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon derecho M1,295,160,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon derecho M1,379,145,1,no,#F2F2F2,15,,12
m12-cajon-cara,Cara cajon derecho M1,379,160,1,no,#D9C2A3,15,"T,B,L,R",12
m12-cajon-base,Base cajon derecho M1,379,295,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon derecho M1,2,20,1,no,#A0A0A0,5,,12
