# CutterNest Piezas v1
# Ejemplo de zapatera volquete
# Zapatera vertical delgada para pasillos: fondo 300 mm y 3 cajones abatibles de apertura pivotante angular, con bandejas inclinadas para el calzado.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
m1-base,Base modulo M1,600,300,1,si,#8B5A2B,15,"T,B,L,R",1
m1-tapa,Tapa modulo M1,600,300,1,si,#8B5A2B,15,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,300,1800,1,no,#8B5A2B,15,"T,B,L",1
m1-lateral-der,Lateral derecho M1,300,1800,1,no,#8B5A2B,15,"T,B,R",1
m1-fondo,Fondo modulo M1,600,1800,1,no,#F2F2F2,15,"",1
m11-cajon-frente,Frente cajon abatible superior M1,568,577,1,si,#C19A6B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon superior M1,255,150,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon superior M1,255,150,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon superior M1,538,150,1,no,#F2F2F2,15,,11
m11-cajon-base,Base cajon superior M1,538,255,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon superior M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon abatible medio M1,568,577,1,si,#C19A6B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon medio M1,255,150,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon medio M1,255,150,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon medio M1,538,150,1,no,#F2F2F2,15,,12
m12-cajon-base,Base cajon medio M1,538,255,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon medio M1,2,20,1,no,#A0A0A0,5,,12
m13-cajon-frente,Frente cajon abatible inferior M1,568,577,1,si,#C19A6B,15,"T,B,L,R",13
m13-cajon-lateral-izq,Lateral cajon inferior M1,255,150,1,no,#D9C2A3,15,"T,B,L",13
m13-cajon-lateral-der,Lateral cajon inferior M1,255,150,1,no,#D9C2A3,15,"T,B,R",13
m13-cajon-fondo,Fondo cajon inferior M1,538,150,1,no,#F2F2F2,15,,13
m13-cajon-base,Base cajon inferior M1,538,255,1,si,#D9C2A3,15,"T,B,L,R",13
m13-cajon-tirador,Tirador cajon inferior M1,2,20,1,no,#A0A0A0,5,,13
